ref_genome	num_genomes_sharing	genome_codes_not_sharing	num_shared_positions
1	10	,2,3,10,11,12,13,15,18,	1154
1	10	,2,5,6,7,10,11,12,14,	143
1	10	,2,3,4,5,6,7,12,13,	38
1	10	,2,3,8,9,12,13,16,17,	334
1	10	,5,6,7,9,10,11,12,13,	83
1	10	,2,3,4,6,7,10,11,13,	2545
1	10	,2,3,10,11,13,14,15,18,	2116
1	10	,2,4,8,9,10,11,15,18,	1
1	10	,2,10,11,12,15,16,17,18,	7
1	10	,2,8,9,10,11,12,15,18,	17
1	10	,2,4,7,10,11,14,15,18,	54
1	10	,2,3,8,10,11,14,15,18,	57
1	10	,2,9,10,11,12,14,15,18,	11418
1	10	,2,3,4,5,6,7,15,18,	8
1	10	,2,10,11,12,13,14,15,18,	42
1	10	,10,11,12,14,15,16,17,18,	15
1	10	,2,8,10,11,12,14,15,18,	3
1	10	,2,8,9,10,11,14,15,18,	5465
1	10	,2,3,13,14,15,16,17,18,	2
1	10	,2,10,11,14,15,16,17,18,	475
1	10	,4,5,6,7,10,11,15,18,	48
1	10	,9,10,11,12,13,14,15,18,	158
1	10	,3,8,10,11,13,14,15,18,	132
1	10	,2,3,4,6,7,11,12,13,	54
1	10	,2,8,9,10,11,14,16,17,	259
1	10	,2,4,5,6,7,8,16,17,	142
1	10	,2,3,8,9,13,14,16,17,	5
1	10	,4,5,6,7,9,10,11,14,	1
1	2	,2,3,4,5,6,7,8,9,10,11,12,13,15,16,17,18,	14598
1	2	,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,	142
1	2	,2,3,4,5,6,7,8,10,11,12,13,14,15,16,17,18,	5155
1	2	,2,3,4,5,6,7,8,9,10,11,13,14,15,16,17,18,	128
1	2	,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,	1585
1	2	,2,3,4,5,6,7,8,9,10,11,12,13,14,16,17,18,	2
1	2	,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,	3912
1	2	,2,3,4,5,6,7,8,9,10,11,12,14,15,16,17,18,	442
1	2	,2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,	331
1	2	,2,3,4,5,6,7,9,10,11,12,13,14,15,16,17,18,	5523
1	11	,4,5,6,7,8,16,17,	2
1	11	,2,6,7,8,9,10,11,	103
1	11	,2,3,9,10,11,12,13,	43
1	11	,5,6,7,15,16,17,18,	211
1	11	,2,10,11,12,13,15,18,	339
1	11	,6,7,9,10,11,12,13,	27
1	11	,2,5,6,7,8,9,12,	54
1	11	,2,4,6,7,10,11,13,	364
1	11	,2,10,11,13,14,15,18,	125
1	11	,2,10,11,12,14,15,18,	502
1	11	,2,8,10,11,14,15,18,	522
1	11	,3,6,7,8,12,15,18,	23
