	% of divergence bins:
Rclass	[0;1[	[1;2[	[2;3[	[3;4[	[4;5[	[5;6[	[6;7[	[7;8[	[8;9[	[9;10[	[10;11[	[11;12[	[12;13[	[13;14[	[14;15[	[15;16[	[16;17[	[17;18[	[18;19[	[19;20[	[20;21[	[21;22[	[22;23[	[23;24[	[24;25[	[25;26[	[26;27[	[27;28[	[28;29[	[29;30[	[30;31[	[31;32[	[32;33[	[33;34[	[34;35[	[35;36[	[36;37[	[37;38[	[38;39[	[39;40[	[40;41[	[41;42[	[42;43[	[43;44[	[44;45[	[45;46[	[46;47[	[47;48[	[48;49[	[49;50[

LTR	35764	186373	718552	1706456	2111101	2498337	3379594	3679590	3977336	4066014	3911272	3800442	3622669	3659976	3483143	3073405	3321718	3179586	2690350	2544868	2533909	2499380	2424446	2281893	2014752	1712422	1338053	1128516	954771	798708	593081	454711	267668	153681	81876	37816	16014	4625	1899	1447	81	115	0	0	0	0	0	0	0	0
DNA	59013	283232	607536	1039342	1414002	1599533	1747797	1986909	2197719	2387039	2562234	2618801	2636848	2714428	2652366	2649897	2599083	2540145	2484121	2365227	2290092	2054137	1795044	1551331	1279155	1066789	843517	704612	604595	426952	303507	221576	107788	74408	30551	14391	8694	1896	653	0	0	0	0	0	0	0	0	0	0	0
Unknown	4924	33889	126482	229392	288099	379445	367282	336660	310592	301543	336469	353718	412129	369319	390675	375547	367944	346003	323029	292923	283359	238993	199196	168958	122322	96710	62796	48092	22755	18688	11681	13507	6692	3457	2572	1726	1209	828	238	0	0	0	0	0	0	0	0	0	0	0
nonLTR	207	904	2432	10965	22999	44961	51039	50418	51106	38148	30101	30699	30439	30020	29710	23708	30502	19562	21381	17990	13673	13088	10971	10164	12733	9782	5526	4103	2304	1671	1032	735	156	110	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SINE	5173	40138	159366	277361	259297	242592	206212	172765	177430	169012	189896	195980	202541	219430	215186	223629	221339	210939	182919	177705	172461	147577	141571	123527	100467	95433	82135	61499	43945	34738	23552	19922	12582	9153	5950	2338	961	0	458	0	0	0	0	0	0	0	0	0	0	0
SINE?	2598	3005	3292	2443	2710	4118	3142	2142	2739	2091	4885	2344	1837	3757	2207	4459	1856	2941	3253	3014	4568	3041	1584	904	174	1119	439	285	386	251	304	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RC	391	1620	3954	10322	15941	33447	32775	54604	57378	51202	56216	72238	89657	104281	114073	121400	104184	108420	98657	109936	103878	82335	84991	71184	64425	72666	45728	31713	32037	28430	16250	12199	6437	6347	2606	1102	686	218	314	0	0	0	0	0	0	0	0	0	0	0
Retro	9777	33148	64106	102812	233998	353283	545076	760350	844955	838161	821058	657171	634961	617016	562543	544411	483547	483258	481427	446121	434327	377012	349979	301632	240923	209776	168011	132901	110970	73881	65034	38216	28434	9755	5198	2798	854	771	235	0	0	0	0	0	0	0	0	0	0	0
LINE	123480	78478	120922	262740	428874	511229	661367	788239	859223	788776	890151	877918	922283	888991	951710	921377	968118	882588	847005	901524	912168	954349	987969	955771	1036573	1024561	1048222	1110383	1038332	779408	610780	381623	206923	92712	34391	8831	3772	841	26	0	0	0	0	0	0	0	0	0	0	0
