		% of divergence bins:
Rclass	Rfam	[0;1[	[1;2[	[2;3[	[3;4[	[4;5[	[5;6[	[6;7[	[7;8[	[8;9[	[9;10[	[10;11[	[11;12[	[12;13[	[13;14[	[14;15[	[15;16[	[16;17[	[17;18[	[18;19[	[19;20[	[20;21[	[21;22[	[22;23[	[23;24[	[24;25[	[25;26[	[26;27[	[27;28[	[28;29[	[29;30[	[30;31[	[31;32[	[32;33[	[33;34[	[34;35[	[35;36[	[36;37[	[37;38[	[38;39[	[39;40[	[40;41[	[41;42[	[42;43[	[43;44[	[44;45[	[45;46[	[46;47[	[47;48[	[48;49[	[49;50[

Retro	Retro	9777	33148	64106	102812	233998	353283	545076	760350	844955	838161	821058	657171	634961	617016	562543	544411	483547	483258	481427	446121	434327	377012	349979	301632	240923	209776	168011	132901	110970	73881	65034	38216	28434	9755	5198	2798	854	771	235	0	0	0	0	0	0	0	0	0	0	0
LINE	RTE-BovB	1060	3308	23647	36979	60729	84451	145257	221332	162308	134960	163312	162752	200045	225167	261893	216520	208342	177818	180492	188728	196180	215183	227630	187398	164205	159892	127233	107679	74893	42815	35265	22381	13347	9163	2253	1606	711	0	26	0	0	0	0	0	0	0	0	0	0	0
DNA	Maverick	42	0	48	0	43	39	0	726	830	2804	4948	6246	8410	10505	10041	14412	13522	8650	12706	15841	18684	21630	26761	18429	19287	7905	6407	3583	2103	1591	955	1394	241	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA	MULE-MuDR	632	15842	43283	92595	72647	46594	54395	129150	66156	50900	57851	99053	109749	167164	150318	118155	78897	71462	39888	43941	37465	40077	35562	38608	42758	34588	62972	62086	40275	41010	40118	43450	20136	14029	7760	3163	3362	0	460	0	0	0	0	0	0	0	0	0	0	0
DNA	DNA	40642	180211	268119	443231	720686	850771	968757	1123837	1386459	1611499	1785534	1775118	1737411	1707666	1648030	1589270	1577864	1520740	1484448	1440231	1372503	1209622	1019502	860839	668817	543223	387134	276340	199566	125069	88956	64428	32988	22708	8431	3826	2000	979	142	0	0	0	0	0	0	0	0	0	0	0
LINE	LINE	121116	68646	83718	198827	318665	376976	446987	458795	521752	471117	542134	502613	494705	454804	423740	436863	425330	392249	372960	416994	366656	331393	309364	265113	216317	182486	143619	99663	68275	43456	27090	18273	12712	6024	5700	1642	1052	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA	Ginger-1	28	0	70	0	100	622	950	2638	1419	857	3193	3415	3666	1830	2632	1709	2098	2452	3080	2832	1960	1704	1714	1195	839	175	83	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA	hAT-hATm	0	0	0	0	0	0	0	0	0	0	0	0	470	644	596	0	0	0	45	129	120	126	0	0	0	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RC	Helitron	391	1620	3954	10322	15941	33447	32775	54604	57378	51202	56216	72238	89657	104281	114073	121400	104184	108420	98657	109936	103878	82335	84991	71184	64425	72666	45728	31713	32037	28430	16250	12199	6437	6347	2606	1102	686	218	314	0	0	0	0	0	0	0	0	0	0	0
DNA	CMC-EnSpm	8641	30958	49257	60278	71221	124501	125075	121615	124338	109978	79934	74626	71418	99643	70624	74327	64134	56097	59872	65580	62384	54564	53756	48663	50488	76113	75918	128340	167964	150950	93441	62011	25300	21985	5249	4318	1517	413	0	0	0	0	0	0	0	0	0	0	0	0
SINE	SINE	1756	12366	80658	193804	186051	192987	159144	132375	132880	139125	157079	162064	173641	179196	179250	176675	171449	153633	130173	126846	116599	95176	89321	74588	63117	61453	57659	43266	29334	25025	16896	14422	9774	7980	5188	2013	739	0	340	0	0	0	0	0	0	0	0	0	0	0
LINE	L1	1191	3038	6712	13904	43319	44941	65765	104127	169278	176526	171312	193382	204046	181430	242078	247589	310032	288972	273156	280343	338891	400513	441496	497011	650492	677395	773981	901693	893837	692362	547883	340727	180508	77525	26362	5583	2009	841	0	0	0	0	0	0	0	0	0	0	0	0
LINE	Penelope	0	0	0	0	0	0	0	0	215	2030	4535	5828	5763	5464	2223	1283	1578	2080	3235	2083	2339	2167	2893	1220	1268	1370	1004	261	190	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA	TcMar-Pogo	25	0	1479	6642	12929	26722	16951	16375	13708	7813	4481	4070	3719	1088	608	2475	2446	2875	5528	4926	5848	4862	5457	5564	5959	6459	6056	4935	3989	4059	3615	2041	1544	1214	434	487	148	0	0	0	0	0	0	0	0	0	0	0	0	0
SINE?	SINE?	2598	3005	3292	2443	2710	4118	3142	2142	2739	2091	4885	2344	1837	3757	2207	4459	1856	2941	3253	3014	4568	3041	1584	904	174	1119	439	285	386	251	304	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
