		% of divergence bins:
Rclass	Rfam	[0;1[	[1;2[	[2;3[	[3;4[	[4;5[	[5;6[	[6;7[	[7;8[	[8;9[	[9;10[	[10;11[	[11;12[	[12;13[	[13;14[	[14;15[	[15;16[	[16;17[	[17;18[	[18;19[	[19;20[	[20;21[	[21;22[	[22;23[	[23;24[	[24;25[	[25;26[	[26;27[	[27;28[	[28;29[	[29;30[	[30;31[	[31;32[	[32;33[	[33;34[	[34;35[	[35;36[	[36;37[	[37;38[	[38;39[	[39;40[	[40;41[	[41;42[	[42;43[	[43;44[	[44;45[	[45;46[	[46;47[	[47;48[	[48;49[	[49;50[

DNA?	DNA?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	54	0	43	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Retro	Retro	9777	33148	64106	102812	233998	353283	545076	760350	844955	838161	821058	657171	634961	617016	562543	544411	483547	483258	481427	446121	434327	377012	349979	301632	240923	209776	168011	132901	110970	73881	65034	38216	28434	9755	5198	2798	854	771	235	0	0	0	0	0	0	0	0	0	0	0
Unknown	Unknown	4924	33889	126482	229392	288099	379445	367282	336660	310592	301543	336469	353718	412129	369428	390675	375547	367944	346183	323029	292965	283472	239296	199727	169347	122814	97805	64410	49829	24148	20580	12795	14412	8065	3937	3352	2482	1419	979	238	0	0	0	0	0	0	0	0	0	0	0
LINE	R1-LOA	0	229	0	1835	3553	3705	1664	2096	1620	619	1212	1704	2483	2345	1291	409	622	1754	836	908	54	154	593	199	0	179	133	0	137	205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SINE	tRNA-RTE	903	3362	7523	7529	12598	15561	18703	25660	23891	19407	20089	22106	20677	31714	25794	33620	36682	40568	37929	36736	38850	36456	34059	32042	27083	24102	20245	15285	12386	8309	6476	4766	2321	1173	407	245	222	0	118	0	0	0	0	0	0	0	0	0	0	0
LINE	CRE	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SINE	SINE	1756	12366	80658	193804	186051	192987	159144	132375	132880	139125	157079	162064	173641	179196	179250	176675	171449	153633	130173	126846	116599	95176	89321	74588	63117	61453	57659	43266	29334	25025	16896	14422	9774	7980	5188	2013	739	0	340	0	0	0	0	0	0	0	0	0	0	0
DNA	hAT-Tip100	53	160	457	504	2046	4829	20140	15849	12532	7276	9777	8567	9487	13882	14869	17577	18614	18720	19993	14425	13258	13724	13759	12470	9778	13339	11551	5704	18834	6726	5014	7363	3746	696	429	342	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA	MULE-MuDR?	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	45	0	0	0	0	0	0	147	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RC	Helitron	391	1620	4514	10352	15941	33567	33060	54661	57590	51358	56589	72668	90218	104953	114677	121855	105211	109957	100915	112426	105990	86400	87124	73750	69500	77514	51475	38676	37324	33938	25815	24805	19299	17113	9872	5581	1601	589	771	286	75	0	0	0	0	0	0	0	0	0
SINE	tRNA	2514	24410	71185	76028	60648	34044	28365	14730	20659	10480	12728	11810	8223	8520	10142	13334	13208	16773	14954	14357	17064	16182	18288	17068	10499	10200	4567	3184	2332	1591	545	1022	487	0	355	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA	hAT-Charlie	0	0	0	238	1588	4813	5681	3544	1972	1395	9534	8047	3298	3617	11152	5479	7520	3310	4413	2402	2605	3852	2822	1840	1170	1728	1633	442	514	491	472	171	0	0	0	141	248	0	0	0	0	0	0	0	0	0	0	0	0	0
