#Rank	Path	LengthInKmers	Flows
0	0	19646	3
1	1	24360	3
0	1000000	21818	3
1	1000001	22824	3
0	2000000	18958	3
1	2000001	20085	3
0	3000000	15125	3
0	4000000	19035	3
1	3000001	18651	3
1	4000001	16932	3
0	5000000	17174	3
0	6000000	13655	3
1	5000001	16295	3
0	7000000	14118	3
1	6000001	15861	3
0	8000000	14551	3
1	7000001	16229	3
0	9000000	14500	3
1	8000001	16203	3
0	10000000	15062	3
1	9000001	14775	3
0	11000000	12648	3
1	10000001	14674	3
0	12000000	12891	3
1	11000001	13738	3
0	13000000	12820	3
1	12000001	14888	3
0	14000000	12460	3
1	13000001	12603	3
0	15000000	12011	3
1	14000001	12716	3
0	16000000	12121	3
1	15000001	13279	3
0	17000000	17150	3
1	16000001	11813	3
0	18000000	12283	3
1	17000001	12461	3
0	19000000	11864	3
1	18000001	15116	3
0	20000000	11081	3
1	19000001	13922	3
0	21000000	11765	3
1	20000001	11660	3
0	22000000	14164	3
1	21000001	11684	3
0	23000000	13854	3
1	22000001	14428	3
0	24000000	10884	3
0	25000000	10292	3
1	23000001	17013	3
0	26000000	10278	3
1	24000001	11031	3
0	27000000	13761	3
1	25000001	12690	3
0	28000000	10131	3
1	26000001	10611	3
0	29000000	11366	3
1	27000001	10973	3
0	30000000	12614	3
1	28000001	9807	3
1	29000001	10124	3
0	31000000	13964	3
1	30000001	10516	3
0	32000000	11112	3
0	33000000	10405	3
1	31000001	12675	3
0	34000000	9608	3
1	32000001	9701	3
1	33000001	12844	3
0	36000000	13156	3
1	34000001	9435	3
0	37000000	10295	3
0	38000000	9215	3
1	35000001	10139	3
1	36000001	9498	3
0	39000000	11498	3
0	40000000	9579	3
1	37000001	12999	3
0	41000000	9571	3
1	38000001	10256	3
0	42000000	10179	3
1	39000001	10056	3
0	43000000	9441	3
1	40000001	9330	3
0	44000000	11566	3
1	41000001	8904	3
1	42000001	8739	3
0	45000000	10412	3
1	43000001	9027	3
0	46000000	8712	3
0	47000000	9132	3
1	44000001	11016	3
0	48000000	10036	3
1	45000001	13122	3
0	49000000	8664	3
1	46000001	10722	3
0	50000000	9071	3
1	48000001	9741	3
0	51000000	8700	3
1	49000001	9088	3
0	52000000	8467	3
1	50000001	8699	3
0	53000000	8562	3
0	54000000	8505	3
1	51000001	13114	3
0	55000000	11450	3
1	52000001	8963	3
0	56000000	9592	3
1	53000001	8259	3
0	57000000	9036	3
1	54000001	8274	3
1	55000001	8773	3
0	58000000	12381	3
1	56000001	8592	3
0	59000000	8573	3
1	57000001	9168	3
0	60000000	9156	3
1	58000001	10117	3
0	61000000	9019	3
1	59000001	7727	3
0	62000000	8304	3
1	60000001	11113	3
0	63000000	9935	3
1	62000001	7459	3
0	64000000	8215	3
1	63000001	10637	3
0	65000000	8791	3
0	66000000	8027	3
1	64000001	8987	3
1	65000001	8938	3
0	67000000	9165	3
0	68000000	8119	3
1	66000001	9797	3
0	69000000	8822	3
1	67000001	10608	3
0	70000000	9421	3
1	68000001	8109	3
1	69000001	7640	3
0	71000000	8842	3
0	72000000	7654	3
1	70000001	7843	3
1	71000001	7037	3
0	73000000	7626	3
1	72000001	7822	3
0	74000000	9324	3
1	73000001	7596	3
0	75000000	8301	3
1	75000001	6930	3
0	76000000	8133	3
1	76000001	9157	3
0	77000000	7749	3
1	77000001	7249	3
0	78000000	9256	3
1	78000001	6664	3
0	79000000	9057	3
1	79000001	10347	3
0	80000000	8460	3
1	80000001	7640	3
0	81000000	8191	3
1	81000001	6924	3
1	82000001	6853	3
0	82000000	8054	3
0	83000000	7356	3
1	83000001	8269	3
0	84000000	6809	3
1	84000001	9640	3
0	85000000	7676	3
1	85000001	9931	3
0	88000000	7931	3
1	86000001	6250	3
0	89000000	7180	3
1	87000001	7374	3
0	91000000	7227	3
1	88000001	6723	3
1	89000001	6187	3
0	93000000	7023	3
1	90000001	7127	3
0	94000000	8294	3
1	91000001	6156	3
0	95000000	7521	3
1	92000001	6706	3
0	96000000	6432	3
1	93000001	7258	3
0	98000000	6708	3
1	95000001	6010	3
0	99000000	8051	3
1	96000001	8595	3
0	101000000	6635	3
1	97000001	6505	3
0	102000000	6514	3
1	98000001	7449	3
0	103000000	8413	3
0	104000000	6149	3
1	99000001	7684	3
1	100000001	6011	3
0	105000000	8713	3
0	106000000	6119	3
1	101000001	10701	3
1	102000001	6507	3
0	108000000	7488	3
0	109000000	7360	3
1	103000001	7496	3
1	104000001	6259	3
0	110000000	7743	3
1	105000001	9103	3
0	111000000	7377	3
1	106000001	9052	3
0	112000000	6537	3
1	107000001	5715	3
0	113000000	6496	3
1	108000001	5648	3
0	114000000	5905	3
1	109000001	6758	3
0	115000000	6941	3
1	110000001	6147	3
0	116000000	7247	3
1	111000001	6724	3
0	117000000	5633	3
1	112000001	5860	3
0	118000000	6363	3
1	113000001	6804	3
0	119000000	6150	3
1	114000001	5645	3
0	120000000	5761	3
1	115000001	8105	3
0	121000000	7233	3
1	116000001	6265	3
0	122000000	6820	3
1	117000001	5751	3
0	124000000	7450	3
1	118000001	9423	3
0	125000000	7338	3
1	119000001	5408	3
0	126000000	5502	3
1	120000001	5728	3
0	128000000	5916	3
1	121000001	7098	3
0	129000000	7551	3
1	122000001	7055	3
0	130000000	8324	3
