# SeedLengthInNucleotides	Frequency
100	6
101	5
102	5
103	8
104	9
105	6
106	2
107	5
108	5
109	9
110	8
111	9
112	8
113	7
114	4
115	6
116	7
117	6
118	5
119	4
120	2
121	4
122	2
123	9
124	4
125	4
126	2
127	4
128	4
129	10
130	4
131	4
132	1
133	3
134	1
135	2
136	8
137	3
138	4
139	4
140	4
141	4
142	2
143	3
144	5
145	3
146	5
147	3
148	5
149	1
150	4
151	2
152	4
153	4
154	4
155	2
156	1
157	4
158	3
159	2
160	3
161	3
162	3
163	4
164	3
165	1
166	1
167	2
168	5
169	1
170	2
171	2
172	2
173	3
174	3
175	3
176	2
177	2
178	2
179	1
180	1
181	4
182	1
183	5
184	2
185	3
187	3
188	3
189	1
190	5
191	4
192	2
193	6
194	3
195	2
196	2
197	2
198	1
199	3
200	1
202	4
203	2
204	3
205	1
206	4
207	4
209	4
211	1
212	2
213	6
214	2
215	2
216	3
217	1
218	3
219	3
220	2
221	6
222	3
223	1
224	1
225	3
226	1
228	2
229	3
230	1
232	1
233	3
235	1
236	1
237	3
238	1
239	1
240	3
243	2
244	1
245	2
246	1
247	2
248	1
249	3
250	3
251	1
253	2
255	1
256	2
257	4
258	2
259	1
260	1
261	1
262	1
264	3
265	1
267	1
268	1
269	1
270	1
272	1
273	1
276	1
277	3
279	3
280	1
281	4
282	4
284	1
285	1
286	3
288	1
290	2
292	2
295	2
297	1
298	1
299	2
300	1
303	2
305	1
306	2
307	4
308	2
309	1
310	2
314	1
315	1
316	2
317	1
318	2
320	3
322	2
325	2
326	1
327	1
328	1
329	2
330	2
332	1
333	1
334	1
335	3
336	5
337	1
341	2
342	2
344	2
345	1
346	1
347	3
348	1
349	1
350	1
351	1
352	4
353	1
354	3
359	3
360	1
362	2
363	4
365	1
366	2
367	1
369	1
370	1
372	1
375	2
376	1
378	1
379	1
381	1
382	2
383	5
385	5
386	1
387	4
390	1
393	2
395	1
396	1
397	1
398	1
400	1
409	1
410	2
411	2
414	1
417	1
418	3
421	1
423	2
426	1
427	1
430	1
431	1
432	2
433	1
434	1
435	1
438	2
440	2
441	1
444	1
445	1
449	1
451	2
454	2
456	1
457	5
459	1
462	1
466	2
468	3
469	1
470	2
472	1
476	1
477	2
480	1
483	1
485	1
489	1
491	1
492	2
493	1
494	1
495	3
497	2
499	1
500	2
501	1
504	2
508	1
512	2
513	1
516	1
517	1
524	1
526	2
527	1
532	1
533	1
534	1
535	1
539	1
540	1
541	1
542	2
544	1
552	2
556	2
557	1
559	1
560	1
562	1
563	1
566	2
570	1
571	1
574	1
576	3
577	2
582	1
583	1
585	3
587	1
588	1
592	1
593	2
597	1
600	1
601	1
603	1
604	1
607	2
608	1
611	3
612	2
614	2
616	1
618	1
619	3
620	1
625	1
628	1
633	1
637	4
639	1
643	1
646	1
648	1
650	1
652	1
654	2
655	1
659	1
661	1
662	3
663	1
665	1
666	1
668	1
671	1
672	1
674	1
675	1
676	1
677	1
679	2
681	1
684	1
686	1
688	1
689	1
692	1
697	1
701	1
702	2
704	2
705	1
706	2
710	2
711	1
715	1
716	1
717	1
725	2
729	3
730	2
731	1
741	1
742	1
743	2
744	1
746	1
747	1
748	2
749	2
751	1
754	2
756	1
758	1
759	3
760	1
762	1
764	1
765	1
766	1
767	2
768	1
769	2
771	1
772	1
781	2
782	2
783	1
787	1
788	3
790	1
791	1
792	1
796	1
798	1
800	1
801	3
803	1
807	1
808	1
813	1
814	1
817	1
822	1
823	1
828	1
832	1
839	1
840	2
844	1
846	1
849	2
851	1
855	2
857	2
860	1
864	1
872	1
873	1
875	1
877	1
878	2
879	2
880	1
882	2
883	1
886	1
892	1
894	4
897	1
899	1
903	1
904	3
907	1
910	1
912	1
914	1
915	1
917	1
918	2
921	1
923	1
924	1
931	1
933	2
936	2
946	2
947	1
949	1
952	2
956	1
957	2
959	1
963	2
965	3
974	1
975	1
979	1
980	1
982	1
984	1
986	2
989	1
991	1
994	1
995	1
999	1
1008	1
1010	2
1013	1
1015	1
1018	2
1021	2
1023	1
1024	1
1026	1
1031	1
1033	1
1034	1
1035	1
1036	1
1037	1
1038	1
1040	1
1043	2
1044	2
1049	1
1053	2
1056	1
1064	1
1069	1
1072	1
1076	1
1079	1
1083	1
1084	1
1089	1
1093	1
1096	1
1099	1
1101	1
1104	1
1109	1
1110	1
1111	2
1114	2
1118	1
1125	1
1126	2
1128	1
1129	1
1130	1
1132	2
1134	1
1135	1
1144	1
1148	1
1149	1
1150	1
1151	1
1159	2
1162	1
1164	1
1166	1
1168	1
1172	1
1174	1
1180	1
1189	1
1191	1
1193	1
1197	2
1200	1
1201	1
1206	3
1208	1
1209	1
1216	1
1217	1
1218	1
1220	1
1225	3
1231	1
1232	1
1233	1
1240	1
1241	3
1244	1
1245	2
1248	1
1255	1
1256	1
1265	2
1267	2
1275	2
1276	1
1279	1
1280	2
1282	1
1290	1
1296	1
1298	1
1301	2
1302	1
1303	1
1304	1
1305	1
1307	3
1308	1
1309	1
1310	1
1311	1
1316	2
1317	1
1320	1
1325	1
1327	1
1330	1
1335	1
1336	1
1341	1
1350	1
1353	1
1354	1
1357	2
1362	1
1364	1
1366	1
1370	2
1371	1
1372	1
1374	1
1381	1
1382	1
1383	1
1384	1
1385	1
1389	1
1394	1
1395	1
1400	3
1401	2
1402	1
1406	1
1407	1
1410	1
1411	1
1412	1
1424	1
1425	1
1428	1
1429	1
1433	1
1436	1
1437	1
1438	1
1439	1
1443	1
1447	1
1451	1
1453	1
1459	2
1463	1
1465	2
1468	1
1471	2
1477	1
1478	1
1480	1
1494	1
1495	1
1496	1
1497	1
1499	1
1503	1
1511	1
1514	1
1517	2
1519	1
1525	1
1526	1
1528	1
1529	1
1533	1
1534	1
1542	1
1545	1
1546	1
1549	1
1554	1
1556	1
1557	1
1559	1
1562	1
1568	1
1569	1
1570	1
1576	1
1578	1
1580	1
1584	1
1588	1
1589	1
1597	2
1600	1
1602	1
1603	1
1609	2
1624	1
1629	1
1631	1
1632	1
1633	1
1637	2
1639	1
1641	1
1643	1
1646	1
1649	2
1651	1
1652	1
1653	1
1654	1
1660	2
1661	1
1664	1
1668	1
1671	2
1673	1
1676	1
1677	1
1679	1
1687	1
1696	3
1697	1
1700	1
1704	2
1705	1
1706	1
1708	1
1718	1
1724	1
1726	1
1728	1
1736	1
1740	1
1741	1
1742	1
1743	1
1744	1
1746	1
1756	1
1758	2
1766	1
1767	1
1768	2
1769	1
1770	1
1771	1
1778	1
1784	2
1785	1
1794	1
1798	1
1799	1
1801	2
1806	1
1807	1
1809	1
1810	1
1814	1
1820	3
1822	1
1823	1
1825	1
1826	1
1844	1
1846	1
1848	1
1866	1
1872	1
1878	1
1880	1
1884	1
1892	1
1893	1
1894	1
1899	1
1902	2
1905	2
1907	1
1912	1
1913	1
1919	1
1923	1
1928	1
1939	1
1946	2
1953	2
1955	1
1956	1
1959	1
1961	2
1963	1
1973	1
1987	1
1990	1
1991	2
1996	1
1997	1
2008	1
2018	2
2023	1
2029	1
2033	1
2034	1
2041	1
2045	1
2047	1
2052	1
2055	2
2061	2
2062	1
2072	1
2080	1
2085	1
2087	1
2092	1
2093	1
2097	1
2103	1
2105	1
2106	2
2109	1
2110	1
2115	1
2119	1
2126	1
2128	1
2130	1
2138	1
2140	1
2141	2
2146	1
2148	1
2149	1
2150	2
2162	1
2169	1
2172	1
2173	2
2176	1
2183	1
2186	1
2188	1
2189	1
2193	1
2194	1
2196	1
2201	1
2202	1
2204	1
2209	1
2219	1
2221	2
2228	1
2232	3
2234	1
2238	2
2242	1
2243	1
2247	1
2260	1
2266	1
2267	2
2268	1
2269	1
2271	1
2281	1
2288	1
2293	1
2298	1
2311	1
2312	1
2313	1
2320	2
2325	1
2329	1
2330	1
2333	1
2344	1
2346	1
2351	1
2352	1
2355	1
2358	1
2371	1
2372	1
2373	1
2376	1
2379	1
2384	1
2387	1
2394	1
2398	1
2399	1
2400	1
2404	1
2405	1
2409	1
2412	2
2415	1
2416	1
2417	1
2419	1
2420	1
2423	1
2425	1
2429	2
2430	1
2435	1
2441	1
2443	1
2467	1
2469	1
2473	1
2475	1
2477	1
2487	1
2490	1
2491	1
2494	1
2497	1
2499	1
2501	2
2506	2
2510	1
2511	1
2521	1
2531	1
2534	1
2538	1
2548	1
2551	1
2559	1
2564	1
2567	1
2584	1
2588	1
2591	1
2598	1
2601	1
2602	2
2603	1
2611	1
2612	1
2620	1
2631	1
2639	1
2649	1
2650	1
2657	1
2660	1
2669	1
2671	1
2672	1
2675	1
2682	1
2683	2
2684	1
2686	1
2689	1
2690	1
2695	2
2697	1
2699	1
2703	1
2705	1
2709	1
2711	2
2713	1
2714	1
2721	1
2724	1
2728	1
2735	1
2739	1
2743	1
2749	1
2752	1
2759	1
2761	1
2765	1
2772	2
2773	1
2783	1
2790	1
2794	1
2795	1
2796	1
2809	1
2815	1
2817	1
2829	1
2830	2
2835	1
2837	1
2849	1
2851	1
2852	1
2856	1
2864	1
2865	2
2871	2
2875	1
2877	1
2891	1
2898	1
2914	1
2915	2
2921	1
2937	1
2940	1
2943	1
2948	1
2955	2
2957	1
2958	1
2977	1
2983	1
2994	1
2996	1
3013	1
3024	1
3028	1
3030	1
3033	1
3036	1
3037	1
3039	1
3051	2
3058	1
3062	1
3075	1
3105	1
3111	2
3132	1
3137	2
3140	1
3142	1
3157	1
3166	1
3171	1
3176	1
3177	1
3182	1
3186	1
3199	1
3200	1
3203	1
3206	1
3210	1
3211	1
3218	1
3220	1
3223	1
3234	1
3244	1
3248	1
3253	1
3254	2
3263	1
3270	1
3271	1
3272	1
3277	1
3288	1
3292	1
3305	1
3308	1
3311	2
3313	1
3315	1
3319	1
3325	1
3354	1
3363	1
3372	1
3378	2
3383	1
3386	1
3391	1
3395	1
3405	1
3412	1
3414	1
3419	1
3439	1
3440	1
3441	1
3452	1
3457	1
3459	1
3470	1
3472	1
3480	1
3494	1
3497	1
3508	1
3511	1
3518	2
3519	1
3525	1
3531	1
3548	1
3553	1
3556	1
3563	1
3569	1
3571	1
3577	1
3583	1
3588	1
3601	2
3605	1
3621	1
3642	1
3648	1
3660	1
3664	1
3677	1
3704	1
3705	1
3707	1
3712	1
3713	1
3715	1
3717	1
3720	1
3724	1
3735	1
3744	1
3745	1
3752	1
3754	1
3760	1
3779	1
3790	1
3792	1
3797	1
3810	1
3815	1
3817	1
3818	1
3822	1
3845	1
3846	2
3849	1
3861	2
3862	2
3866	1
3884	1
3886	1
3891	1
3892	1
3893	1
3896	1
3898	1
3899	1
3904	1
3932	2
3953	2
3955	1
3956	1
3960	1
3975	1
3980	2
3986	1
3992	3
3999	1
4004	1
4007	1
4029	1
4030	1
4033	1
4034	1
4045	2
4055	2
4060	1
4066	1
4080	1
4093	1
4105	1
4111	1
4134	1
4137	1
4139	2
4171	1
4174	1
4181	1
4186	1
4191	1
4202	1
4213	1
4238	1
4260	1
4270	1
4275	1
4304	1
4305	1
4307	1
4321	1
4330	1
4338	1
4341	1
4349	1
4377	1
4407	1
4410	1
4411	1
4425	1
4426	1
4445	1
4446	2
4452	1
4453	2
4456	1
4464	1
4476	1
4478	1
4479	1
4481	1
4483	1
4486	1
4498	1
4503	1
4512	1
4523	1
4528	1
4535	1
4546	1
4547	1
4550	1
4558	1
4575	1
4577	1
4580	1
4584	1
4593	1
4619	1
4636	1
4673	2
4680	1
4686	1
4704	1
4710	1
4712	1
4713	1
4730	1
4761	1
4762	1
4768	1
4769	1
4779	1
4809	1
4819	1
4823	1
4827	1
4831	1
4839	1
4866	1
4887	1
4892	1
4898	1
4903	1
4916	1
4917	1
4921	1
4939	1
4942	1
4952	1
4954	1
4962	1
4965	1
4972	1
