subelement	bin_id	source_id	source_genome	start	stop	length	avg_rank	num_genomes	S_Abortusovis_SR44	S_Agona_SL483	S_Bongori_NCTC12419	S_Choleraesuis_SCB67	S_Dublin_CT02021853	S_Enteritidis_P125109	S_Gallinarum_28791	S_Gall_Pullorum_RKS5078	S_Heidelberg_SL476	S_Newport_SL254	S_ParatyphiA_AKU12601	S_ParatyphiA_ATCC9150	S_ParatyphiB_SPB7	S_ParatyphiC_RKS4594	S_Schwarzengrund_CVM19633	S_Typhimurium_LT2	S_Typhimurium_SL1344	S_Typhimurium_ST313_AGEnt	S_Typhi_CT18	S_Typhi_Ty2
bin1_se00001	bin1	S_Typhi_CT18_accessory_0002_length_214239	S_Typhi_CT18	1	4041	4041	NA	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
bin1_se00002	bin1	S_Typhi_CT18_accessory_0002_length_214239	S_Typhi_CT18	4042	4926	885	NA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
bin1_se00003	bin1	S_Typhi_CT18_accessory_0002_length_214239	S_Typhi_CT18	4927	5125	199	NA	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
bin1_se00004	bin1	S_Typhi_CT18_accessory_0002_length_214239	S_Typhi_CT18	5126	6537	1412	NA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
bin1_se00005	bin1	S_Typhi_CT18_accessory_0002_length_214239	S_Typhi_CT18	6538	73187	66650	NA	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
bin1_se00006	bin1	S_Typhi_CT18_accessory_0002_length_214239	S_Typhi_CT18	73188	77284	4097	NA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
bin1_se00007	bin1	S_Typhi_CT18_accessory_0002_length_214239	S_Typhi_CT18	77285	102453	25169	NA	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
bin1_se00008	bin1	S_Typhi_CT18_accessory_0002_length_214239	S_Typhi_CT18	102454	103221	768	NA	4	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0
bin1_se00009	bin1	S_Typhi_CT18_accessory_0002_length_214239	S_Typhi_CT18	103222	103222	1	NA	3	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
bin1_se00010	bin1	S_Typhi_CT18_accessory_0002_length_214239	S_Typhi_CT18	103223	104865	1643	NA	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
bin1_se00011	bin1	S_Typhi_CT18_accessory_0002_length_214239	S_Typhi_CT18	104866	105634	769	NA	4	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0
bin1_se00012	bin1	S_Typhi_CT18_accessory_0002_length_214239	S_Typhi_CT18	105635	109678	4044	NA	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
bin1_se00013	bin1	S_Typhi_CT18_accessory_0002_length_214239	S_Typhi_CT18	109679	110597	919	NA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
bin1_se00014	bin1	S_Typhi_CT18_accessory_0002_length_214239	S_Typhi_CT18	110598	111786	1189	NA	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
bin1_se00015	bin1	S_Typhi_CT18_accessory_0002_length_214239	S_Typhi_CT18	111787	112283	497	NA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
bin1_se00016	bin1	S_Typhi_CT18_accessory_0002_length_214239	S_Typhi_CT18	112284	113970	1687	NA	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
bin1_se00017	bin1	S_Typhi_CT18_accessory_0002_length_214239	S_Typhi_CT18	113971	113972	2	NA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
bin1_se00018	bin1	S_Typhi_CT18_accessory_0002_length_214239	S_Typhi_CT18	113973	114600	628	NA	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
bin1_se00019	bin1	S_Typhi_CT18_accessory_0002_length_214239	S_Typhi_CT18	114601	114895	295	NA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
bin1_se00020	bin1	S_Typhi_CT18_accessory_0002_length_214239	S_Typhi_CT18	114896	115047	152	NA	4	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0
