Spine version: 0.3.2
inputs: --pctcore 0 --refs 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18 --maxdist 10 --pctid 85 --minout 10 --pangenome

gen_#	gen_name	gen_size	source	total_bp	gc_%	num_segs	min_seg	max_seg	avg_leng	median_leng	num_cds
1	S_Agona_SL483	4836638	accessory	1426389	48.7591	558	10	49668	2556.25	380	1401
1	S_Agona_SL483	4836638	core	3410173	53.3489	568	18	42153	6003.83	4024	3213
2	S_Bongori_NCTC12419	4460105	accessory	1099182	48.3869	559	10	52807	1966.34	248	881
2	S_Bongori_NCTC12419	4460105	core	3360848	52.2922	576	19	41049	5834.81	4026	3017
3	S_Choleraesuis_SCB67	4944000	accessory	1517334	49.5924	556	10	138742	2729.02	397.5	1492
3	S_Choleraesuis_SCB67	4944000	core	3426560	53.2576	568	15	41053	6032.68	4081	3173
4	S_Dublin_CT02021853	4917459	accessory	1487173	49.4600	545	10	74551	2728.76	366	1447
4	S_Dublin_CT02021853	4917459	core	3430189	53.2817	554	15	42151	6191.68	4085.5	3170
5	S_Enteritidis_P125109	4685848	accessory	1253506	49.0576	557	10	45029	2250.46	355	1126
5	S_Enteritidis_P125109	4685848	core	3432239	53.3032	569	15	42151	6032.05	4039	3118
6	S_Gallinarum_28791	4658697	accessory	1230068	49.2200	526	10	60954	2338.53	379.5	1005
6	S_Gallinarum_28791	4658697	core	3428535	53.2756	539	15	42150	6360.92	4274	3001
7	S_Gall_Pullorum_RKS5078	4637962	accessory	1212632	49.1992	516	10	61186	2350.06	381.5	1151
7	S_Gall_Pullorum_RKS5078	4637962	core	3425194	53.2749	533	15	42315	6426.26	4374	3174
8	S_Heidelberg_SL476	4892141	accessory	1456737	49.2091	556	10	66766	2620.03	366	1434
8	S_Heidelberg_SL476	4892141	core	3435322	53.3100	569	15	41057	6037.47	4182	3220
9	S_Newport_SL254	5007719	accessory	1582146	49.9143	548	10	176473	2887.13	366	1597
9	S_Newport_SL254	5007719	core	3425463	53.3018	561	11	42153	6105.99	4101	3208
10	S_ParatyphiA_AKU12601	4794508	accessory	1390670	48.7318	540	10	209040	2575.31	338.5	1381
10	S_ParatyphiA_AKU12601	4794508	core	3403654	53.3060	546	14	41019	6233.80	4323	3122
11	S_ParatyphiA_ATCC9150	4585229	accessory	1171070	48.8248	540	10	84658	2168.65	335	1038
11	S_ParatyphiA_ATCC9150	4585229	core	3413975	53.3109	548	14	41020	6229.88	4316	3054
12	S_ParatyphiB_SPB7	4858887	accessory	1439676	49.1710	552	10	94472	2608.11	377	1870
12	S_ParatyphiB_SPB7	4858887	core	3419123	53.3475	562	11	42155	6083.85	4087	3732
13	S_ParatyphiC_RKS4594	4888494	accessory	1459774	49.5814	552	10	89045	2644.52	394.5	1456
13	S_ParatyphiC_RKS4594	4888494	core	3428606	53.2725	565	15	41054	6068.33	4101	3184
14	S_Schwarzengrund_CVM19633	4823887	accessory	1381772	49.5886	555	10	110227	2489.68	298	1402
14	S_Schwarzengrund_CVM19633	4823887	core	3442044	53.2640	566	18	42153	6081.35	4087	3225
15	S_Typhi_CT18	5133713	accessory	1714608	49.1527	550	10	214239	3117.47	381	1834
15	S_Typhi_CT18	5133713	core	3418916	53.2344	555	10	42148	6160.21	4247	3150
16	S_Typhimurium_LT2	4951383	accessory	1513659	49.8528	561	10	93933	2698.14	366	1395
16	S_Typhimurium_LT2	4951383	core	3437584	53.2902	563	15	41421	6105.83	4219	3158
17	S_Typhimurium_SL1344	4878012	accessory	1441210	49.5429	555	10	81547	2596.77	366	1341
17	S_Typhimurium_SL1344	4878012	core	3436665	53.2911	559	15	42154	6147.88	4231	3142
18	S_Typhi_Ty2	4791961	accessory	1374171	49.1099	548	10	136577	2507.61	374.5	1400
18	S_Typhi_Ty2	4791961	core	3417601	53.2360	555	10	42151	6157.84	4247	3221
-	-	-	backbone	3410173	53.3489	568	18	42153	6003.83	4024	3213
-	-	-	pangenome	8245060	50.3345	1181	10	4798660	6981.42	702	8063
