locus_id	gen_contig_id	gen_contig_start	gen_contig_stop	strand	out_seq_id	out_seq_start	out_seq_stop	pct_locus	overhangs	product
GBEIEJCH_00001	rec1	1393	1609	-	S_Abortusovis_SR44_AGEnt_accessory_0002_length_217	1	217	17.86	793,205	putative acyl Co-A dehydrogenase
GBEIEJCH_00007	rec1	5247	6258	-	S_Abortusovis_SR44_AGEnt_accessory_0003_length_1012	1	1012	94.49	54,5	putative inner-membrane protein
GBEIEJCH_00030	rec1	25476	26195	+	S_Abortusovis_SR44_AGEnt_accessory_0006_length_842	66	785	100.00	0,0	putative arginine-binding periplasmic protein
GBEIEJCH_00035	rec1	32366	32366	+	S_Abortusovis_SR44_AGEnt_accessory_0007_length_463	1	1	0.03	3326,0	putative membrane protein
GBEIEJCH_00036	rec1	32463	32747	-	S_Abortusovis_SR44_AGEnt_accessory_0007_length_463	98	382	100.00	0,0	exported protein
GBEIEJCH_00037	rec1	32799	32828	-	S_Abortusovis_SR44_AGEnt_accessory_0007_length_463	434	463	2.00	0,1473	putative amino acid permease
GBEIEJCH_00051	rec1	44833	44847	-	S_Abortusovis_SR44_AGEnt_accessory_0008_length_150	136	150	0.91	0,1632	GroEL protein
GBEIEJCH_00061	rec1	55179	55382	-	S_Abortusovis_SR44_AGEnt_accessory_0009_length_3075	168	371	100.00	0,0	hypothetical protein
GBEIEJCH_00062	rec1	55722	56033	+	S_Abortusovis_SR44_AGEnt_accessory_0009_length_3075	711	1022	100.00	0,0	nonspecific acid phosphatase precursor
GBEIEJCH_00063	rec1	56099	56473	+	S_Abortusovis_SR44_AGEnt_accessory_0009_length_3075	1088	1462	100.00	0,0	nonspecific acid phosphatase precursor
GBEIEJCH_00064	rec1	56616	56849	+	S_Abortusovis_SR44_AGEnt_accessory_0009_length_3075	1605	1838	100.00	0,0	hypothetical protein
GBEIEJCH_00065	rec1	56819	57148	+	S_Abortusovis_SR44_AGEnt_accessory_0009_length_3075	1808	2137	100.00	0,0	IS256 family transposase IS285
GBEIEJCH_00066	rec1	57210	57500	+	S_Abortusovis_SR44_AGEnt_accessory_0009_length_3075	2199	2489	100.00	0,0	hypothetical protein
GBEIEJCH_00184	rec10	4583	5312	-	S_Abortusovis_SR44_AGEnt_accessory_0012_length_2332	1	730	63.04	428,0	acriflavine resistance protein E (protein envc)
GBEIEJCH_00185	rec10	5726	5968	+	S_Abortusovis_SR44_AGEnt_accessory_0012_length_2332	1144	1386	100.00	0,0	TetR-family transcriptional regulator
GBEIEJCH_00186	rec10	6053	6388	+	S_Abortusovis_SR44_AGEnt_accessory_0012_length_2332	1471	1806	100.00	0,0	TetR-family transcriptional regulator
GBEIEJCH_00187	rec10	6391	6914	-	S_Abortusovis_SR44_AGEnt_accessory_0012_length_2332	1809	2332	24.95	0,1576	putative membrane protein
GBEIEJCH_00207	rec10	27338	28064	+	S_Abortusovis_SR44_AGEnt_accessory_0014_length_727	1	727	19.13	671,2403	putative exported protein
GBEIEJCH_01865	rec100	421	1422	+	S_Abortusovis_SR44_AGEnt_accessory_0016_length_6923	421	1422	100.00	0,0	glycosyltransferase
GBEIEJCH_01866	rec100	1742	2692	+	S_Abortusovis_SR44_AGEnt_accessory_0016_length_6923	1742	2692	100.00	0,0	glycosyltransferase
GBEIEJCH_01867	rec100	2805	3320	+	S_Abortusovis_SR44_AGEnt_accessory_0016_length_6923	2805	3320	100.00	0,0	rhamnosyltransferase
GBEIEJCH_01868	rec100	3362	3748	+	S_Abortusovis_SR44_AGEnt_accessory_0016_length_6923	3362	3748	100.00	0,0	rhamnosyltransferase
GBEIEJCH_01869	rec100	3749	5017	+	S_Abortusovis_SR44_AGEnt_accessory_0016_length_6923	3749	5017	100.00	0,0	mannose-1-phosphate guanylyltransferase
GBEIEJCH_01870	rec100	5007	5189	+	S_Abortusovis_SR44_AGEnt_accessory_0016_length_6923	5007	5189	100.00	0,0	mannose-1-phosphate guanylyltransferase
GBEIEJCH_01871	rec100	5176	6609	+	S_Abortusovis_SR44_AGEnt_accessory_0016_length_6923	5176	6609	100.00	0,0	phosphomannomutase
GBEIEJCH_01872	rec101	163	1083	+	S_Abortusovis_SR44_AGEnt_accessory_0017_length_1224	163	1083	100.00	0,0	undecaprenyl-phosphate galactosephosphotransferase
GBEIEJCH_01893	rec104	447	659	-	S_Abortusovis_SR44_AGEnt_accessory_0020_length_1811	447	659	100.00	0,0	hypothetical protein
GBEIEJCH_01894	rec105	86	304	+	S_Abortusovis_SR44_AGEnt_accessory_0021_length_1334	86	304	100.00	0,0	hypothetical protein
GBEIEJCH_01895	rec105	385	609	+	S_Abortusovis_SR44_AGEnt_accessory_0021_length_1334	385	609	100.00	0,0	hypothetical protein
GBEIEJCH_01896	rec105	661	1023	+	S_Abortusovis_SR44_AGEnt_accessory_0021_length_1334	661	1023	100.00	0,0	hypothetical protein
GBEIEJCH_01898	rec108	250	426	+	S_Abortusovis_SR44_AGEnt_accessory_0023_length_973	250	426	100.00	0,0	hypothetical protein
GBEIEJCH_01899	rec108	514	942	+	S_Abortusovis_SR44_AGEnt_accessory_0023_length_973	514	942	100.00	0,0	hypothetical protein
GBEIEJCH_01900	rec109	162	1265	+	S_Abortusovis_SR44_AGEnt_accessory_0024_length_10065	162	1265	100.00	0,0	hypothetical protein
GBEIEJCH_01901	rec109	1416	1748	+	S_Abortusovis_SR44_AGEnt_accessory_0024_length_10065	1416	1748	100.00	0,0	hypothetical protein
GBEIEJCH_01902	rec109	1857	2228	+	S_Abortusovis_SR44_AGEnt_accessory_0024_length_10065	1857	2228	100.00	0,0	hypothetical protein
GBEIEJCH_01903	rec109	2556	3770	-	S_Abortusovis_SR44_AGEnt_accessory_0024_length_10065	2556	3770	100.00	0,0	hypothetical protein
GBEIEJCH_01904	rec109	3760	5379	-	S_Abortusovis_SR44_AGEnt_accessory_0024_length_10065	3760	5379	100.00	0,0	hypothetical protein
GBEIEJCH_01905	rec109	5443	5781	-	S_Abortusovis_SR44_AGEnt_accessory_0024_length_10065	5443	5781	100.00	0,0	Mrr restriction system protein
GBEIEJCH_01906	rec109	5730	6197	-	S_Abortusovis_SR44_AGEnt_accessory_0024_length_10065	5730	6197	100.00	0,0	hypothetical protein
GBEIEJCH_01907	rec109	6169	6609	-	S_Abortusovis_SR44_AGEnt_accessory_0024_length_10065	6169	6609	100.00	0,0	hypothetical protein
GBEIEJCH_01908	rec109	6734	6868	+	S_Abortusovis_SR44_AGEnt_accessory_0024_length_10065	6734	6868	100.00	0,0	hypothetical protein
GBEIEJCH_01909	rec109	7465	7983	-	S_Abortusovis_SR44_AGEnt_accessory_0024_length_10065	7465	7983	100.00	0,0	hypothetical protein
GBEIEJCH_01910	rec109	8213	8728	-	S_Abortusovis_SR44_AGEnt_accessory_0024_length_10065	8213	8728	100.00	0,0	hypothetical protein
GBEIEJCH_01911	rec109	9343	10053	-	S_Abortusovis_SR44_AGEnt_accessory_0024_length_10065	9343	10053	100.00	0,0	ATP-dependent DNA helicase Rep
GBEIEJCH_00214	rec11	100	360	-	S_Abortusovis_SR44_AGEnt_accessory_0025_length_6412	100	360	100.00	0,0	hypothetical protein
GBEIEJCH_00215	rec11	469	1488	-	S_Abortusovis_SR44_AGEnt_accessory_0025_length_6412	469	1488	100.00	0,0	rna 3'-terminal phosphate cyclase (ec 6.5.1.4) (rna-3'-phosphate cyclase) (rna cyclase)
GBEIEJCH_00216	rec11	1492	2709	-	S_Abortusovis_SR44_AGEnt_accessory_0025_length_6412	1492	2709	100.00	0,0	RNA-splicing ligase RtcB
GBEIEJCH_00217	rec11	3054	4607	-	S_Abortusovis_SR44_AGEnt_accessory_0025_length_6412	3054	4607	100.00	0,0	hypothetical protein
GBEIEJCH_00218	rec11	4797	5705	+	S_Abortusovis_SR44_AGEnt_accessory_0025_length_6412	4797	5705	100.00	0,0	transcriptional regulatory protein.
GBEIEJCH_00219	rec11	5648	6379	+	S_Abortusovis_SR44_AGEnt_accessory_0025_length_6412	5648	6379	100.00	0,0	transcriptional regulatory protein.
GBEIEJCH_00220	rec11	6376	6412	-	S_Abortusovis_SR44_AGEnt_accessory_0025_length_6412	6376	6412	4.87	0,722	putative DeoR-family transcriptional regulator
GBEIEJCH_00223	rec11	10164	10167	+	S_Abortusovis_SR44_AGEnt_accessory_0026_length_8678	1	4	0.27	1505,0	aerobic glycerol-3-phosphate dehydrogenase
GBEIEJCH_00224	rec11	10214	10759	-	S_Abortusovis_SR44_AGEnt_accessory_0026_length_8678	51	596	100.00	0,0	hypothetical protein
GBEIEJCH_00225	rec11	10769	12172	-	S_Abortusovis_SR44_AGEnt_accessory_0026_length_8678	606	2009	100.00	0,0	putative membrane protein
