#Rname	Rclass	Rfam	Rlen	FRG_NB_all	FRG_NB_Reconstructed_repeats	LEN_MASKED_NR	AVG_%DIV	MED_%DIV	AVG_%DEL	MED_%DEL	AVG_%INS	MED_%INS	AVG_LEN_MASKED	%_GENOME

rnd-1_family-825	LINE	LINE	nd	64	64	7399	15.3866630625768	nd	2.30142046222458	nd	3.79750777132047	nd	4.13170534203088e-05	nd
rnd-5_family-1603	Unknown	Unknown	nd	318	318	31830	14.9114916745213	nd	3.23444360666025	nd	5.54999120326759	nd	0.000177743182912343	nd
rnd-5_family-5794	Unknown	Unknown	nd	166	166	19233	19.3524327977935	nd	1.68792752040774	nd	1.45682420839189	nd	0.000107399768675875	nd
rnd-4_family-69	DNA	DNA	nd	786	786	168898	21.1165655602847	nd	4.88279565181323	nd	7.66441082783475	nd	0.000943150113337385	nd
rnd-5_family-759	DNA	DNA	nd	115	115	14422	15.9021716821528	nd	3.03173346276539	nd	3.28018166689776	nd	8.05344701213263e-05	nd
rnd-1_family-1136	Retro	Retro	nd	76	76	13117	12.2868110086154	nd	1.90420446748493	nd	4.12457192955674	nd	7.32471671461265e-05	nd
rnd-1_family-777	DNA	DNA	nd	71	71	9732	17.5690258939569	nd	2.44314015618604	nd	2.5804870530209	nd	5.43448525322942e-05	nd
rnd-4_family-540	SINE	SINE	nd	417	417	35340	17.4458845500839	nd	2.97809026598751	nd	1.66801131861916	nd	0.000197343515052536	nd
rnd-6_family-207	DNA	hAT-Ac	nd	62	62	9802	19.1691777188334	nd	5.33165782493379	nd	12.23550805958	nd	5.47357423470559e-05	nd
rnd-3_family-11	RC	Helitron	nd	797	797	119771	10.4615691611489	nd	3.48918511158777	nd	5.80216070668199	nd	0.000668818057197432	nd
rnd-1_family-1009	RC	Helitron	nd	142	142	32698	19.2751253899309	nd	0.962798947947933	nd	0.983272371398958	nd	0.000182590216615388	nd
rnd-1_family-85	LTR	Gypsy	nd	360	360	218507	8.05894987345677	nd	1.8192622204336	nd	1.92387612296099	nd	0.00122017372505898	nd
rnd-5_family-1289	LINE	LINE	nd	86	86	13663	9.34602576300939	nd	1.08234355558814	nd	0.941283759057286	nd	7.62961077012676e-05	nd
rnd-5_family-845	DNA	DNA	nd	265	265	48476	18.1298731330971	nd	4.57561762521681	nd	6.04899331628038	nd	0.000270696780862669	nd
rnd-1_family-161	LTR	LTR	nd	57	57	5507	20.1016288360265	nd	5.54088614490653	nd	7.05276738696218	nd	3.07518601413219e-05	nd
rnd-1_family-709	SINE	SINE	nd	314	314	13416	11.6412574537856	nd	1.30702519379845	nd	1.45254695885507	nd	7.491682506918e-05	nd
rnd-5_family-1219	LINE	L1	nd	145	145	53413	25.1835210529294	nd	3.03387752045348	nd	3.20960571396443	nd	0.000298265681083789	nd
rnd-1_family-503	LTR	Gypsy	nd	128	128	76026	28.5170310157072	nd	7.93589258938114	nd	6.6767036277051	nd	0.000424539843672442	nd
rnd-1_family-296	DNA	CMC-EnSpm	nd	593	593	156060	10.9519803921536	nd	3.37634935281263	nd	2.25426829424658	nd	0.000871460921310094	nd
rnd-1_family-684	LTR	Gypsy	nd	335	335	107918	13.2274725254327	nd	1.51307844845138	nd	4.14944763616765	nd	0.000602629243277859	nd
rnd-1_family-712	Retro	Retro	nd	77	77	3644	17.1352305159166	nd	1.31464599341382	nd	2.17802963776072	nd	2.03486069284505e-05	nd
rnd-1_family-962	LTR	LTR	nd	246	246	64267	12.7532514354209	nd	1.94819394090369	nd	1.87047427139885	nd	0.000358875938932691	nd
rnd-1_family-1104	DNA	DNA	nd	136	136	10346	16.0222810748119	nd	0.966434370771302	nd	0.761982408660358	nd	5.77735146217752e-05	nd
rnd-1_family-606	LTR	Gypsy	nd	130	130	67817	20.4120030375896	nd	1.72585841308147	nd	3.18759691522575	nd	0.000378699636681319	nd
