locus_id	gen_contig_id	gen_contig_start	gen_contig_stop	strand	out_seq_id	out_seq_start	out_seq_stop	pct_locus	source_gen	overhangs	product
SeAg_A0001	CP001137	79	240	-	pangenome_0001_length_37978	79	240	100.00	S_Agona_SL483	0,0	hypothetical protein
SeAg_A0002	CP001137	291	527	+	pangenome_0001_length_37978	291	527	100.00	S_Agona_SL483	0,0	hypothetical protein
SeAg_A0003	CP001137	663	890	-	pangenome_0001_length_37978	663	890	100.00	S_Agona_SL483	0,0	hypothetical protein
SeAg_A0004	CP001137	897	1148	-	pangenome_0001_length_37978	897	1148	100.00	S_Agona_SL483	0,0	hypothetical protein
SeAg_A0005	CP001137	1160	1363	-	pangenome_0001_length_37978	1160	1363	100.00	S_Agona_SL483	0,0	conserved domain protein
SeAg_A0006	CP001137	1364	1759	-	pangenome_0001_length_37978	1364	1759	100.00	S_Agona_SL483	0,0	hypothetical protein
SeAg_A0007	CP001137	1762	2205	-	pangenome_0001_length_37978	1762	2205	100.00	S_Agona_SL483	0,0	conserved hypothetical protein
SeAg_A0008	CP001137	2285	2698	-	pangenome_0001_length_37978	2285	2698	100.00	S_Agona_SL483	0,0	hypothetical protein
SeAg_A0009	CP001137	2747	3034	-	pangenome_0001_length_37978	2747	3034	100.00	S_Agona_SL483	0,0	conserved hypothetical protein
SeAg_A0010	CP001137	3160	3318	-	pangenome_0001_length_37978	3160	3318	100.00	S_Agona_SL483	0,0	conserved hypothetical protein
SeAg_A0011	CP001137	3474	3974	-	pangenome_0001_length_37978	3474	3974	100.00	S_Agona_SL483	0,0	protein ParB
SeAg_A0012	CP001137	3974	4189	-	pangenome_0001_length_37978	3974	4189	100.00	S_Agona_SL483	0,0	conserved hypothetical protein
SeAg_A0013	CP001137	4210	4551	-	pangenome_0001_length_37978	4210	4551	100.00	S_Agona_SL483	0,0	hypothetical protein
SeAg_A0014	CP001137	4795	4998	-	pangenome_0001_length_37978	4795	4998	100.00	S_Agona_SL483	0,0	conserved hypothetical protein
SeAg_A0015	CP001137	5010	5579	-	pangenome_0001_length_37978	5010	5579	100.00	S_Agona_SL483	0,0	hypothetical protein
SeAg_A0017	CP001137	6629	6922	-	pangenome_0001_length_37978	6629	6922	100.00	S_Agona_SL483	0,0	conserved hypothetical protein
SeAg_A0018	CP001137	6919	7257	-	pangenome_0001_length_37978	6919	7257	100.00	S_Agona_SL483	0,0	conserved hypothetical protein
SeAg_A0019	CP001137	7270	7695	-	pangenome_0001_length_37978	7270	7695	100.00	S_Agona_SL483	0,0	H-NS histone family
SeAg_A0020	CP001137	7793	9973	-	pangenome_0001_length_37978	7793	9973	100.00	S_Agona_SL483	0,0	topoisomerase
SeAg_A0021	CP001137	10015	10416	-	pangenome_0001_length_37978	10015	10416	100.00	S_Agona_SL483	0,0	hypothetical protein
SeAg_A0022	CP001137	10504	10869	-	pangenome_0001_length_37978	10504	10869	100.00	S_Agona_SL483	0,0	YggA protein
SeAg_A0023	CP001137	10886	12907	-	pangenome_0001_length_37978	10886	12907	100.00	S_Agona_SL483	0,0	conjugal transfer protein
SeAg_A0024	CP001137	12929	13990	-	pangenome_0001_length_37978	12929	13990	100.00	S_Agona_SL483	0,0	P-type DNA transfer ATPase VirB11
SeAg_A0025	CP001137	14067	15293	-	pangenome_0001_length_37978	14067	15293	100.00	S_Agona_SL483	0,0	conjugal transfer protein
SeAg_A0026	CP001137	15286	16074	-	pangenome_0001_length_37978	15286	16074	100.00	S_Agona_SL483	0,0	conjugal transfer outer membrane protein
SeAg_A0027	CP001137	16096	16887	-	pangenome_0001_length_37978	16096	16887	100.00	S_Agona_SL483	0,0	conjugal transfer protein
SeAg_A0028	CP001137	16889	17062	-	pangenome_0001_length_37978	16889	17062	100.00	S_Agona_SL483	0,0	conserved domain protein
SeAg_A0029	CP001137	17112	17765	-	pangenome_0001_length_37978	17112	17765	100.00	S_Agona_SL483	0,0	putative conjugal transfer protein
SeAg_A0030	CP001137	17776	20301	-	pangenome_0001_length_37978	17776	20301	100.00	S_Agona_SL483	0,0	conjugal transfer protein
SeAg_A0031	CP001137	20267	20665	-	pangenome_0001_length_37978	20267	20665	100.00	S_Agona_SL483	0,0	hypothetical protein
SeAg_A0032	CP001137	20726	21043	-	pangenome_0001_length_37978	20726	21043	100.00	S_Agona_SL483	0,0	conserved hypothetical protein
SeAg_A0033	CP001137	21057	21734	-	pangenome_0001_length_37978	21057	21734	100.00	S_Agona_SL483	0,0	conjugal transfer protein
SeAg_A0034	CP001137	21828	22238	-	pangenome_0001_length_37978	21828	22238	100.00	S_Agona_SL483	0,0	hypothetical protein
SeAg_A0035	CP001137	22449	22952	-	pangenome_0001_length_37978	22449	22952	100.00	S_Agona_SL483	0,0	hypothetical protein
SeAg_A0036	CP001137	22953	24017	-	pangenome_0001_length_37978	22953	24017	100.00	S_Agona_SL483	0,0	plasmid replication protein
SeAg_A0037	CP001137	25110	25358	+	pangenome_0001_length_37978	25110	25358	100.00	S_Agona_SL483	0,0	conserved hypothetical protein
SeAg_A0038	CP001137	25378	26430	+	pangenome_0001_length_37978	25378	26430	100.00	S_Agona_SL483	0,0	putative conjugal transfer protein
SeAg_A0039	CP001137	26531	27112	+	pangenome_0001_length_37978	26531	27112	100.00	S_Agona_SL483	0,0	hypothetical protein
SeAg_A0040	CP001137	27209	27466	+	pangenome_0001_length_37978	27209	27466	100.00	S_Agona_SL483	0,0	hypothetical protein
SeAg_A0041	CP001137	27694	27849	+	pangenome_0001_length_37978	27694	27849	100.00	S_Agona_SL483	0,0	hypothetical protein
SeAg_A0042	CP001137	27948	28274	+	pangenome_0001_length_37978	27948	28274	100.00	S_Agona_SL483	0,0	conserved hypothetical protein
SeAg_A0043	CP001137	28412	29392	+	pangenome_0001_length_37978	28412	29392	100.00	S_Agona_SL483	0,0	conserved hypothetical protein
SeAg_A0044	CP001137	29436	30134	+	pangenome_0001_length_37978	29436	30134	100.00	S_Agona_SL483	0,0	hypothetical protein
SeAg_A0045	CP001137	30196	30471	+	pangenome_0001_length_37978	30196	30471	100.00	S_Agona_SL483	0,0	hypothetical protein
SeAg_A0046	CP001137	30494	30847	-	pangenome_0001_length_37978	30494	30847	100.00	S_Agona_SL483	0,0	hypothetical protein
SeAg_A0047	CP001137	30880	31437	-	pangenome_0001_length_37978	30880	31437	100.00	S_Agona_SL483	0,0	hypothetical protein
SeAg_A0048	CP001137	31485	32291	-	pangenome_0001_length_37978	31485	32291	100.00	S_Agona_SL483	0,0	TraL
SeAg_A0049	CP001137	32284	32712	-	pangenome_0001_length_37978	32284	32712	100.00	S_Agona_SL483	0,0	hypothetical protein
SeAg_A0050	CP001137	33070	33459	+	pangenome_0001_length_37978	33070	33459	100.00	S_Agona_SL483	0,0	conserved hypothetical protein
SeAg_A0051	CP001137	33440	37045	+	pangenome_0001_length_37978	33440	37045	100.00	S_Agona_SL483	0,0	relaxase
SeAg_A0052	CP001137	37351	37563	-	pangenome_0001_length_37978	37351	37563	100.00	S_Agona_SL483	0,0	hypothetical protein
SeAg_A0053	CP001137	37611	37823	-	pangenome_0001_length_37978	37611	37823	100.00	S_Agona_SL483	0,0	conserved hypothetical protein
SeAg_B0002	CP001138	337	2799	+	pangenome_0002_length_4798660	337	2799	100.00	S_Agona_SL483	0,0	aspartokinase/homoserine dehydrogenase I
SeAg_B0003	CP001138	2801	3730	+	pangenome_0002_length_4798660	2801	3730	100.00	S_Agona_SL483	0,0	homoserine kinase
SeAg_B0004	CP001138	3734	5020	+	pangenome_0002_length_4798660	3734	5020	100.00	S_Agona_SL483	0,0	threonine synthase
SeAg_B0005	CP001138	5113	5886	-	pangenome_0002_length_4798660	5113	5886	100.00	S_Agona_SL483	0,0	conserved hypothetical protein
SeAg_B0006	CP001138	5965	7422	-	pangenome_0002_length_4798660	5965	7422	100.00	S_Agona_SL483	0,0	amino-acid carrier protein AlsT
SeAg_B0007	CP001138	7664	8617	+	pangenome_0002_length_4798660	7664	8617	100.00	S_Agona_SL483	0,0	transaldolase
SeAg_B0008	CP001138	8728	9318	+	pangenome_0002_length_4798660	8728	9318	100.00	S_Agona_SL483	0,0	molybdopterin biosynthesis protein Mog
SeAg_B0009	CP001138	9375	9941	-	pangenome_0002_length_4798660	9375	9941	100.00	S_Agona_SL483	0,0	membrane protein, GPR1/FUN34/yaaH family
SeAg_B0010	CP001138	10091	10804	-	pangenome_0002_length_4798660	10091	10804	100.00	S_Agona_SL483	0,0	positive regulator for sigma H
SeAg_B0011	CP001138	10840	11244	-	pangenome_0002_length_4798660	10840	11244	100.00	S_Agona_SL483	0,0	protein YaaI
SeAg_B0012	CP001138	11299	11424	+	pangenome_0002_length_4798660	11299	11424	100.00	S_Agona_SL483	0,0	hypothetical protein
SeAg_B0013	CP001138	11593	13509	+	pangenome_0002_length_4798660	11593	13509	100.00	S_Agona_SL483	0,0	chaperone protein DnaK
SeAg_B0014	CP001138	13595	14734	+	pangenome_0002_length_4798660	13595	14734	100.00	S_Agona_SL483	0,0	chaperone protein DnaJ
SeAg_B0015	CP001138	14846	14959	+	pangenome_0002_length_4798660	14846	14959	100.00	S_Agona_SL483	0,0	hypothetical protein
SeAg_B0016	CP001138	15015	15962	+	pangenome_0002_length_4798660	15015	15962	100.00	S_Agona_SL483	0,0	putative transcriptional regulator, LysR family
SeAg_B0017	CP001138	16131	16433	+	pangenome_0002_length_4798660	16131	16433	100.00	S_Agona_SL483	0,0	putative bacteriophage protein
SeAg_B0018	CP001138	16494	17027	-	pangenome_0002_length_4798660	16494	17027	100.00	S_Agona_SL483	0,0	conserved hypothetical protein
SeAg_B0019	CP001138	17044	17487	-	pangenome_0002_length_4798660	17044	17487	100.00	S_Agona_SL483	0,0	conserved hypothetical protein
SeAg_B0020	CP001138	17614	17742	-	pangenome_0002_length_4798660	17614	17742	100.00	S_Agona_SL483	0,0	hypothetical protein
SeAg_B0021	CP001138	17868	19967	+	pangenome_0002_length_4798660	17868	19967	100.00	S_Agona_SL483	0,0	exochitinase
SeAg_B0022	CP001138	20060	23056	+	pangenome_0002_length_4798660	20060	23056	100.00	S_Agona_SL483	0,0	putative hydroxymethyltransferase
