,Original ID,short ID,Sure?,
SYNAPTOBREVIN,,,,
Cowc,>tr|A0A0D2W0J6|A0A0D2W0J6_CAPO3 Vesicle-associated membrane protein OS=Capsaspora owczarzaki (strain ATCC 30864) OX=595528 GN=CAOG_007836 PE=3 SV=1 or genbank KJE97732.1,VAMP_Cow,,
Mbr,>EDQ90396.1 predicted protein [Monosiga brevicollis MX1],synaptobrevin_Monosiga,,
Pba,,,,
Aqu,>XP_003387152.1 PREDICTED: synaptobrevin-like [Amphimedon queenslandica],synaptobrevin-like_Amphimedon,,
Tad,>RDD42862.1 Synaptobrevin [Trichoplax sp. H2],,,
Nve,,,,
Hsa - 1,>AAA60603.1 synaptobrevin 1 (SYB1) [Homo sapiens],synaptobrevin-1_Homo,,
Hsa - 2,>AAA60604.1 synaptobrevin 2 (SYB2) [Homo sapiens],synaptobrevin-2_Homo,,
Dme,">NP_001261269.1 neuronal synaptobrevin, isoform J [Drosophila melanogaster]",synaptobrevin_Drosophila,,
SYNAPTOJANIN,,,,
Cowc,,,,
Mbr,,,,
Pba,,,,
Aqu,,,,
Tad,">EDV21940.1 hypothetical protein TRIADDRAFT_29738, partial [Trichoplax adhaerens]",,,
Nve,,,,
Hsa,">sp|O43426.2|SYNJ1_HUMAN RecName: Full=Synaptojanin-1; AltName: Full=Synaptic inositol 1,4,5-trisphosphate 5-phosphatase 1",synaptojanin-1_Homo,,
Dme,">AAF46796.1 synaptojanin, isoform A [Drosophila melanogaster]",synaptojanin_isoA_Drosophila,,
SYNTAXIN,,,,
Cowc,>KJE96279.1 syntaxin 1.1 [Capsaspora owczarzaki ATCC 30864],syntaxin1.1_Capsaspora,,
Mbr,>EDQ91489.1 predicted protein [Monosiga brevicollis MX1],syntaxin_Monosiga,,
Pba,,,,
Aqu,>XP_003387901.1 PREDICTED: syntaxin-1A-like [Amphimedon queenslandica],syntaxin1A_Amphimedon,,
Tad,>XP_002115197.1 syntaxin 1.1 [Trichoplax adhaerens],syntaxin1.1_Trichoplax,,
Nve,,,,
Hsa,>AAA53519.1 syntaxin 1A [Homo sapiens],syntaxin1A_Homo,,
Dme,">NP_524475.1 syntaxin 1A, isoform A [Drosophila melanogaster]",syntaxin1A_isoA_Drosophila,,
EPSIN,,,,
Cowc,,,,
Mrb,,,,
Pba,,,,
Aqu,>XP_019851408.1 PREDICTED: epsin-1-like isoform X1 [Amphimedon queenslandica],epsin1_Amphimedon,,
Tad,,,,
Nve,,,,
Hsa,>AAH44651.1 Epsin 1 [Homo sapiens],epsin1_Homo,,
SYNAPTOTAGMIN,,,,
Pba,,,,
Aqu,>XP_003388846.1 PREDICTED: synaptotagmin-7-like [Amphimedon queenslandica],synaptotagmin7_Amphimedon,,
Tad,>EDV19718.1 synaptotagmin 1 [Trichoplax adhaerens],synaptotagmin1_Trichoplax ,,
Nve,">EDO31746.1 predicted protein, partial [Nematostella vectensis]",synaptotagmin_Nematostella,,
Hsa,>sp|P21579.1|SYT1_HUMAN RecName: Full=Synaptotagmin-1; AltName: Full=Synaptotagmin I; Short=SytI; AltName: Full=p65,synaptotagmin_Homo,,
SYNAPTOPORIN,,,,
Pba,,,,
Aqu,,,,
Tad,,,,
Nve,,,,
Hsa,>AAH22518.1 Synaptoporin [Homo sapiens],synaptoporin_Homo,,
PACSIN,,,,
Pba,,,,
Aqu,,,,
Tad,>RDD38909.1 Protein kinase C and casein kinase substrate in neurons protein 1 [Trichoplax sp. H2],pacsin1_Trichoplax,,
Nve,,,,
Has,>NP_065855.1 protein kinase C and casein kinase substrate in neurons protein 1 [Homo sapiens],pacsin1_Homo,,
PROFILIN,,,,
Aqu,>XP_003383241.1 PREDICTED: profilin-2-like [Amphimedon queenslandica],profilin2_Amphimedon,,
Tad,>RDD38468.1 Profilin [Trichoplax sp. H2],profilin_Trichoplax,,
