locus_id	gen_contig_id	gen_contig_start	gen_contig_stop	strand	out_seq_id	out_seq_start	out_seq_stop	pct_locus	overhangs	product
JEDLFLNC_00163	contig-10000000	191	736	+	S_Typhimurium_ST313_AGEnt_accessory_0004_length_12921	191	736	100.00	0,0	putative DNA packaging protein
JEDLFLNC_00164	contig-10000000	708	2639	+	S_Typhimurium_ST313_AGEnt_accessory_0004_length_12921	708	2639	100.00	0,0	putative bacteriophage protein
JEDLFLNC_00165	contig-10000000	2623	2826	+	S_Typhimurium_ST313_AGEnt_accessory_0004_length_12921	2623	2826	100.00	0,0	putative bacteriophage protein
JEDLFLNC_00166	contig-10000000	2784	4403	+	S_Typhimurium_ST313_AGEnt_accessory_0004_length_12921	2784	4403	100.00	0,0	putative bacteriophage protein
JEDLFLNC_00167	contig-10000000	4393	5889	+	S_Typhimurium_ST313_AGEnt_accessory_0004_length_12921	4393	5889	100.00	0,0	putative bacteriophage tail protein
JEDLFLNC_00168	contig-10000000	5902	6249	+	S_Typhimurium_ST313_AGEnt_accessory_0004_length_12921	5902	6249	100.00	0,0	putative bacteriophage protein
JEDLFLNC_00169	contig-10000000	6304	7332	+	S_Typhimurium_ST313_AGEnt_accessory_0004_length_12921	6304	7332	100.00	0,0	putative bacteriophage protein
JEDLFLNC_00170	contig-10000000	7390	7749	+	S_Typhimurium_ST313_AGEnt_accessory_0004_length_12921	7390	7749	100.00	0,0	putative bacteriophage protein
JEDLFLNC_00171	contig-10000000	7760	8143	+	S_Typhimurium_ST313_AGEnt_accessory_0004_length_12921	7760	8143	100.00	0,0	putative bacteriophage protein
JEDLFLNC_00172	contig-10000000	8171	8749	+	S_Typhimurium_ST313_AGEnt_accessory_0004_length_12921	8171	8749	100.00	0,0	putative bacteriophage protein
JEDLFLNC_00173	contig-10000000	8798	9928	-	S_Typhimurium_ST313_AGEnt_accessory_0004_length_12921	8798	9928	100.00	0,0	phage encoded virulence factor
JEDLFLNC_00174	contig-10000000	10037	10438	+	S_Typhimurium_ST313_AGEnt_accessory_0004_length_12921	10037	10438	100.00	0,0	putative bacteriophage protein
JEDLFLNC_00175	contig-10000000	10449	11192	+	S_Typhimurium_ST313_AGEnt_accessory_0004_length_12921	10449	11192	100.00	0,0	putative bacteriophage protein
JEDLFLNC_00176	contig-10000000	11243	11638	+	S_Typhimurium_ST313_AGEnt_accessory_0004_length_12921	11243	11638	100.00	0,0	putative bacteriophage protein
