locus_id	gen_contig_id	gen_contig_start	gen_contig_stop	strand	out_seq_id	out_seq_start	out_seq_stop	pct_locus	source_gen	overhangs	product
SeAg_B0002	CP001138	337	2799	+	backbone_0001_length_8618	337	2799	100.00	S_Agona_SL483	0,0	aspartokinase/homoserine dehydrogenase I
SeAg_B0003	CP001138	2801	3730	+	backbone_0001_length_8618	2801	3730	100.00	S_Agona_SL483	0,0	homoserine kinase
SeAg_B0004	CP001138	3734	5020	+	backbone_0001_length_8618	3734	5020	100.00	S_Agona_SL483	0,0	threonine synthase
SeAg_B0005	CP001138	5113	5886	-	backbone_0001_length_8618	5113	5886	100.00	S_Agona_SL483	0,0	conserved hypothetical protein
SeAg_B0006	CP001138	5965	7422	-	backbone_0001_length_8618	5965	7422	100.00	S_Agona_SL483	0,0	amino-acid carrier protein AlsT
SeAg_B0007	CP001138	7664	8617	+	backbone_0001_length_8618	7664	8617	100.00	S_Agona_SL483	0,0	transaldolase
SeAg_B0008	CP001138	8887	9318	+	backbone_0002_length_23225	1	432	73.10	S_Agona_SL483	159,0	molybdopterin biosynthesis protein Mog
SeAg_B0009	CP001138	9375	9941	-	backbone_0002_length_23225	489	1055	100.00	S_Agona_SL483	0,0	membrane protein, GPR1/FUN34/yaaH family
SeAg_B0010	CP001138	10091	10804	-	backbone_0002_length_23225	1205	1918	100.00	S_Agona_SL483	0,0	positive regulator for sigma H
SeAg_B0011	CP001138	10840	11244	-	backbone_0002_length_23225	1954	2358	100.00	S_Agona_SL483	0,0	protein YaaI
SeAg_B0012	CP001138	11299	11424	+	backbone_0002_length_23225	2413	2538	100.00	S_Agona_SL483	0,0	hypothetical protein
SeAg_B0013	CP001138	11593	13509	+	backbone_0002_length_23225	2707	4623	100.00	S_Agona_SL483	0,0	chaperone protein DnaK
SeAg_B0014	CP001138	13595	14734	+	backbone_0002_length_23225	4709	5848	100.00	S_Agona_SL483	0,0	chaperone protein DnaJ
SeAg_B0015	CP001138	14846	14959	+	backbone_0002_length_23225	5960	6073	100.00	S_Agona_SL483	0,0	hypothetical protein
SeAg_B0016	CP001138	15015	15962	+	backbone_0002_length_23225	6129	7076	100.00	S_Agona_SL483	0,0	putative transcriptional regulator, LysR family
SeAg_B0017	CP001138	16131	16433	+	backbone_0002_length_23225	7245	7547	100.00	S_Agona_SL483	0,0	putative bacteriophage protein
SeAg_B0018	CP001138	16494	17027	-	backbone_0002_length_23225	7608	8141	100.00	S_Agona_SL483	0,0	conserved hypothetical protein
SeAg_B0019	CP001138	17044	17487	-	backbone_0002_length_23225	8158	8601	100.00	S_Agona_SL483	0,0	conserved hypothetical protein
SeAg_B0020	CP001138	17614	17742	-	backbone_0002_length_23225	8728	8856	100.00	S_Agona_SL483	0,0	hypothetical protein
SeAg_B0021	CP001138	17868	19967	+	backbone_0002_length_23225	8982	11081	100.00	S_Agona_SL483	0,0	exochitinase
SeAg_B0022	CP001138	20060	23056	+	backbone_0002_length_23225	11174	14170	100.00	S_Agona_SL483	0,0	putative hydroxymethyltransferase
SeAg_B0023	CP001138	23337	24041	+	backbone_0002_length_23225	14451	15155	100.00	S_Agona_SL483	0,0	putative cytoplasmic protein
SeAg_B0024	CP001138	24471	25013	+	backbone_0002_length_23225	15585	16127	100.00	S_Agona_SL483	0,0	fimbrial subunit
SeAg_B0025	CP001138	24973	25800	+	backbone_0002_length_23225	16087	16914	100.00	S_Agona_SL483	0,0	chaperone protein FimC
SeAg_B0026	CP001138	25760	28426	+	backbone_0002_length_23225	16874	19540	100.00	S_Agona_SL483	0,0	outer membrane usher protein FimD
SeAg_B0027	CP001138	28427	29434	+	backbone_0002_length_23225	19541	20548	100.00	S_Agona_SL483	0,0	mannose binding protein FimH
SeAg_B0028	CP001138	29465	29980	+	backbone_0002_length_23225	20579	21094	100.00	S_Agona_SL483	0,0	fimbrial subunit
SeAg_B0029	CP001138	29996	30514	+	backbone_0002_length_23225	21110	21628	100.00	S_Agona_SL483	0,0	fimbrial subunit
SeAg_B0030	CP001138	30576	31211	+	backbone_0002_length_23225	21690	22325	100.00	S_Agona_SL483	0,0	fimbrial chaperone
SeAg_B0043	CP001138	45795	46024	+	backbone_0003_length_2509	1	230	13.40	S_Agona_SL483	1486,0	arylsulfotransferase
SeAg_B0044	CP001138	46187	47353	+	backbone_0003_length_2509	393	1559	100.00	S_Agona_SL483	0,0	Na+/H+ antiporter NhaA
SeAg_B0045	CP001138	47415	48303	+	backbone_0003_length_2509	1621	2509	98.78	S_Agona_SL483	0,11	transcriptional activator protein NhaR
