bin_id	source_id	source_genome	source_length	bin_start	bin_stop	bin_length
bin1	S_Typhi_CT18_accessory_0002_length_214239	S_Typhi_CT18	214239	1	214239	214239
bin2	S_Typhi_Ty2_accessory_0510_length_136577	S_Typhi_Ty2	136577	1	136577	136577
bin3	S_Typhi_CT18_accessory_0003_length_106516	S_Typhi_CT18	106516	1	106516	106516
bin4	S_Schwarzengrund_CVM19633_accessory_0063_length_101530	S_Schwarzengrund_CVM19633	101530	1	101530	101530
bin5	S_Typhimurium_LT2_accessory_0561_length_93933	S_Typhimurium_LT2	93933	1	93933	93933
bin6	S_ParatyphiB_SPB7_accessory_0514_length_94472	S_ParatyphiB_SPB7	94472	7033	94472	87440
bin7	S_Newport_SL254_accessory_0001_length_176473	S_Newport_SL254	176473	32697	119744	87048
bin8	S_ParatyphiA_AKU12601_accessory_0285_length_59120	S_ParatyphiA_AKU12601	59120	1	59120	59120
bin9	S_Bongori_NCTC12419_accessory_0039_length_52807	S_Bongori_NCTC12419	52807	1	52807	52807
bin10	S_Gallinarum_28791_accessory_0116_length_51717	S_Gallinarum_28791	51717	1	51717	51717
bin11	S_Choleraesuis_SCB67_accessory_0002_length_138742	S_Choleraesuis_SCB67	138742	72365	123182	50818
bin12	S_Newport_SL254_accessory_0119_length_41766	S_Newport_SL254	41766	1	41766	41766
bin13	S_Typhimurium_SL1344_accessory_0308_length_81547	S_Typhimurium_SL1344	81547	34394	74447	40054
bin14	S_Agona_SL483_accessory_0001_length_37978	S_Agona_SL483	37978	1	37978	37978
bin15	S_Heidelberg_SL476_accessory_0518_length_66766	S_Heidelberg_SL476	66766	8903	46517	37615
bin16	S_Dublin_CT02021853_accessory_0233_length_44708	S_Dublin_CT02021853	44708	8322	44708	36387
bin17	S_Schwarzengrund_CVM19633_accessory_0241_length_36230	S_Schwarzengrund_CVM19633	36230	1	36230	36230
bin18	S_Typhi_CT18_accessory_0186_length_34292	S_Typhi_CT18	34292	1	34292	34292
bin19	S_Enteritidis_P125109_accessory_0237_length_33531	S_Enteritidis_P125109	33531	1	33531	33531
bin20	S_Typhi_Ty2_accessory_0302_length_32340	S_Typhi_Ty2	32340	1	32340	32340
bin21	S_Dublin_CT02021853_accessory_0001_length_74551	S_Dublin_CT02021853	74551	43602	74551	30950
bin22	S_Newport_SL254_accessory_0470_length_30935	S_Newport_SL254	30935	1	30935	30935
bin23	S_ParatyphiC_RKS4594_accessory_0097_length_30706	S_ParatyphiC_RKS4594	30706	1	30706	30706
bin24	S_Agona_SL483_accessory_0183_length_27682	S_Agona_SL483	27682	1	27682	27682
bin25	S_Newport_SL254_accessory_0001_length_176473	S_Newport_SL254	176473	149645	176473	26829
bin26	S_Schwarzengrund_CVM19633_accessory_0001_length_110227	S_Schwarzengrund_CVM19633	110227	83752	110227	26476
bin27	S_Heidelberg_SL476_accessory_0157_length_26432	S_Heidelberg_SL476	26432	1	26432	26432
bin28	S_Schwarzengrund_CVM19633_accessory_0036_length_26067	S_Schwarzengrund_CVM19633	26067	1	26067	26067
bin29	S_Bongori_NCTC12419_accessory_0521_length_28538	S_Bongori_NCTC12419	28538	2346	28091	25746
bin30	S_ParatyphiA_ATCC9150_accessory_0076_length_25161	S_ParatyphiA_ATCC9150	25161	1	25161	25161
bin31	S_Gall_Pullorum_RKS5078_accessory_0270_length_42879	S_Gall_Pullorum_RKS5078	42879	18561	42879	24319
bin32	S_ParatyphiA_AKU12601_accessory_0037_length_24139	S_ParatyphiA_AKU12601	24139	1	24139	24139
bin33	S_Choleraesuis_SCB67_accessory_0110_length_41157	S_Choleraesuis_SCB67	41157	1	23506	23506
bin34	S_ParatyphiB_SPB7_accessory_0527_length_23151	S_ParatyphiB_SPB7	23151	1	23151	23151
bin35	S_Newport_SL254_accessory_0491_length_22768	S_Newport_SL254	22768	1	22768	22768
bin36	S_Heidelberg_SL476_accessory_0338_length_24610	S_Heidelberg_SL476	24610	1	22743	22743
bin37	S_Dublin_CT02021853_accessory_0109_length_44342	S_Dublin_CT02021853	44342	16659	39115	22457
bin38	S_Bongori_NCTC12419_accessory_0509_length_21839	S_Bongori_NCTC12419	21839	1	21839	21839
bin39	S_Agona_SL483_accessory_0509_length_21813	S_Agona_SL483	21813	1	21813	21813
bin40	S_Bongori_NCTC12419_accessory_0359_length_33477	S_Bongori_NCTC12419	33477	11728	33477	21750
bin41	S_Typhimurium_LT2_accessory_0543_length_21481	S_Typhimurium_LT2	21481	1	21481	21481
bin42	S_Schwarzengrund_CVM19633_accessory_0303_length_24678	S_Schwarzengrund_CVM19633	24678	907	22333	21427
bin43	S_Typhimurium_LT2_accessory_0057_length_21294	S_Typhimurium_LT2	21294	1	21294	21294
bin44	S_Bongori_NCTC12419_accessory_0207_length_20499	S_Bongori_NCTC12419	20499	1	20499	20499
bin45	S_Bongori_NCTC12419_accessory_0165_length_20426	S_Bongori_NCTC12419	20426	1	20426	20426
bin46	S_Heidelberg_SL476_accessory_0540_length_21086	S_Heidelberg_SL476	21086	557	20764	20208
bin47	S_Bongori_NCTC12419_accessory_0320_length_19875	S_Bongori_NCTC12419	19875	1	19875	19875
bin48	S_Choleraesuis_SCB67_accessory_0035_length_64066	S_Choleraesuis_SCB67	64066	20525	40289	19765
bin49	S_Newport_SL254_accessory_0001_length_176473	S_Newport_SL254	176473	1	19092	19092
bin50	S_Bongori_NCTC12419_accessory_0145_length_18913	S_Bongori_NCTC12419	18913	1	18913	18913
bin51	S_Schwarzengrund_CVM19633_accessory_0195_length_18280	S_Schwarzengrund_CVM19633	18280	1	18280	18280
bin52	S_ParatyphiB_SPB7_accessory_0089_length_22681	S_ParatyphiB_SPB7	22681	841	19052	18212
bin53	S_Bongori_NCTC12419_accessory_0083_length_18210	S_Bongori_NCTC12419	18210	1	18210	18210
bin54	S_ParatyphiA_AKU12601_accessory_0314_length_18301	S_ParatyphiA_AKU12601	18301	488	18301	17814
bin55	S_Newport_SL254_accessory_0187_length_17595	S_Newport_SL254	17595	1	17595	17595
bin56	S_Agona_SL483_accessory_0478_length_17463	S_Agona_SL483	17463	1	17463	17463
bin57	S_ParatyphiB_SPB7_accessory_0046_length_17182	S_ParatyphiB_SPB7	17182	1	17182	17182
bin58	S_Newport_SL254_accessory_0411_length_17016	S_Newport_SL254	17016	1	17016	17016
bin59	S_Typhi_CT18_accessory_0114_length_44343	S_Typhi_CT18	44343	19787	36760	16974
bin60	S_Typhimurium_SL1344_accessory_0004_length_16966	S_Typhimurium_SL1344	16966	1	16966	16966
bin61	S_Dublin_CT02021853_accessory_0136_length_60201	S_Dublin_CT02021853	60201	1	16361	16361
bin62	S_ParatyphiC_RKS4594_accessory_0246_length_16014	S_ParatyphiC_RKS4594	16014	1	16014	16014
bin63	S_Abortusovis_SR44_AGEnt_accessory_0200_length_15953	S_Abortusovis_SR44	15953	1	15953	15953
bin64	S_Heidelberg_SL476_accessory_0158_length_41604	S_Heidelberg_SL476	41604	25983	41604	15622
bin65	S_Enteritidis_P125109_accessory_0543_length_15618	S_Enteritidis_P125109	15618	1	15539	15539
bin66	S_Typhi_Ty2_accessory_0089_length_23062	S_Typhi_Ty2	23062	7723	23062	15340
bin67	S_Newport_SL254_accessory_0001_length_176473	S_Newport_SL254	176473	126098	141268	15171
bin68	S_ParatyphiA_AKU12601_accessory_0464_length_14963	S_ParatyphiA_AKU12601	14963	1	14963	14963
bin69	S_ParatyphiC_RKS4594_accessory_0532_length_16362	S_ParatyphiC_RKS4594	16362	1	14852	14852
bin70	S_Agona_SL483_accessory_0245_length_14075	S_Agona_SL483	14075	1	14075	14075
bin71	S_Bongori_NCTC12419_accessory_0209_length_14075	S_Bongori_NCTC12419	14075	1	14075	14075
bin72	S_Bongori_NCTC12419_accessory_0186_length_17171	S_Bongori_NCTC12419	17171	1	13823	13823
bin73	S_Typhimurium_LT2_accessory_0002_length_13688	S_Typhimurium_LT2	13688	1	13688	13688
bin74	S_Agona_SL483_accessory_0304_length_29357	S_Agona_SL483	29357	16006	29357	13352
bin75	S_Agona_SL483_accessory_0269_length_13178	S_Agona_SL483	13178	1	13178	13178
bin76	S_ParatyphiB_SPB7_accessory_0248_length_13019	S_ParatyphiB_SPB7	13019	1	13019	13019
bin77	S_ParatyphiA_AKU12601_accessory_0076_length_12968	S_ParatyphiA_AKU12601	12968	1	12968	12968
bin78	S_Heidelberg_SL476_accessory_0272_length_12496	S_Heidelberg_SL476	12496	1	12496	12496
bin79	S_Bongori_NCTC12419_accessory_0041_length_12427	S_Bongori_NCTC12419	12427	1	12427	12427
bin80	S_Bongori_NCTC12419_accessory_0020_length_12369	S_Bongori_NCTC12419	12369	1	12369	12369
bin81	S_Gall_Pullorum_RKS5078_accessory_0263_length_12322	S_Gall_Pullorum_RKS5078	12322	1	12322	12322
bin82	S_Bongori_NCTC12419_accessory_0004_length_12138	S_Bongori_NCTC12419	12138	1	12138	12138
bin83	S_Enteritidis_P125109_accessory_0160_length_12105	S_Enteritidis_P125109	12105	1	12105	12105
bin84	S_Agona_SL483_accessory_0541_length_45654	S_Agona_SL483	45654	31447	43308	11862
