			% of divergence bins:
Rname	Rclass	Rfam	[0;1[	[1;2[	[2;3[	[3;4[	[4;5[	[5;6[	[6;7[	[7;8[	[8;9[	[9;10[	[10;11[	[11;12[	[12;13[	[13;14[	[14;15[	[15;16[	[16;17[	[17;18[	[18;19[	[19;20[	[20;21[	[21;22[	[22;23[	[23;24[	[24;25[	[25;26[	[26;27[	[27;28[	[28;29[	[29;30[	[30;31[	[31;32[	[32;33[	[33;34[	[34;35[	[35;36[	[36;37[	[37;38[	[38;39[	[39;40[	[40;41[	[41;42[	[42;43[	[43;44[	[44;45[	[45;46[	[46;47[	[47;48[	[48;49[	[49;50[

rnd-6_family-2883	DNA	DNA	76	179	0	285	338	2054	930	283	588	78	765	2074	1919	1534	656	748	1274	560	0	0	0	116	0	95	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-3_family-40	LINE	L1	0	0	0	0	284	0	0	107	176	254	4461	622	9128	10132	35096	12572	13346	15424	23791	17409	34558	28958	57363	75525	114242	89696	52639	65485	78787	60017	24100	22597	11797	5538	852	298	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-806	DNA	DNA	34	0	36	0	0	0	0	665	576	1404	1585	1218	1846	1458	1101	3304	3008	3989	4718	4158	4289	4208	4174	3269	1731	2288	1933	569	532	238	116	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-946	DNA	DNA	0	0	0	0	0	0	198	469	711	1018	2111	3894	2327	1514	1324	697	2092	656	1221	1065	1349	1736	327	762	447	332	480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-322	LTR	Copia	37	238	425	372	85	0	2054	6327	13090	27719	12930	9598	13431	11463	10127	7434	4370	2303	2588	1792	2301	3138	3075	2458	1511	2003	1826	4435	1512	2380	657	271	235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-81	LINE	L1	0	0	0	0	0	0	0	0	0	0	0	119	0	85	49	0	1475	272	1782	1450	0	1830	421	1292	1264	351	2756	2274	6520	2723	9447	14674	7479	1009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-4_family-1828	LTR	Gypsy	0	0	0	0	43	1369	1650	3832	3483	3579	5787	6098	5738	5993	7920	4769	4098	3592	5877	5429	5277	4115	3591	2568	1860	1543	1373	494	903	217	0	0	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-1115	LTR	LTR	0	0	0	0	0	0	0	0	0	603	6574	5066	2615	4402	3037	1795	7486	7631	2925	2755	2401	1214	825	524	577	722	1315	1046	2175	3282	139	603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-402	LINE	LINE	0	0	44	61	10481	5026	6724	3950	3412	621	486	540	425	326	863	288	384	122	482	96	176	263	787	241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-449	Unknown	Unknown	40	12388	81868	108190	19287	4469	736	1390	182	76	0	284	1575	1017	890	2000	132	45	214	92	126	807	484	0	1639	0	0	460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-848	DNA	DNA	0	766	1537	767	0	0	0	0	48	216	86	291	277	194	250	212	391	378	54	263	279	75	107	34	10	0	11	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-22	LTR	Gypsy	0	0	845	16622	60001	72595	55664	26956	18488	15634	6848	3427	2676	3228	1388	1771	3709	1355	4505	2241	2160	1470	1987	2843	2149	1535	613	239	440	189	246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-793	LTR	Copia	917	1399	1621	2780	2930	3030	2373	4430	3253	1739	2222	2094	1475	1520	933	507	644	414	354	290	98	299	215	208	17	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-113	DNA	DNA	0	0	0	0	0	0	0	0	38	87	0	42	0	90	137	0	48	46	50	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-398	DNA	DNA	0	0	0	2386	6280	3361	5466	764	6137	4484	2725	879	932	1015	85	145	838	149	567	0	137	494	0	0	277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-133	DNA	CMC-EnSpm	0	0	0	150	445	0	573	662	1967	4557	5692	4708	7254	5197	6470	7604	7407	4015	3339	3584	1846	897	719	435	374	119	249	34	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-446	Unknown	Unknown	0	0	0	58	0	154	120	271	1382	1291	1479	2015	4328	6071	5780	5816	5544	4392	3799	2341	2264	2640	592	1038	408	749	280	263	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-4_family-395	LINE	L1	0	0	0	0	0	0	0	0	0	0	0	0	666	668	0	753	1631	1323	120	2050	1828	5788	2877	6670	16392	12194	8687	10931	27008	29174	15929	8059	2606	1331	259	229	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-906	LINE	LINE	0	0	0	0	0	1009	2616	2635	1697	80	446	1386	2749	2972	3035	3349	2357	1691	4161	349	1274	1532	904	985	292	122	91	578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-813	LTR	LTR	0	0	0	0	0	0	0	353	0	0	0	55	62	1476	62	521	948	1847	1367	90	303	871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-4_family-635	DNA	MULE-MuDR	0	0	0	0	133	0	275	303	201	237	3316	4264	8657	11861	12505	10077	7272	6619	5117	5799	6906	5591	3730	4774	3935	3131	1771	1867	993	953	1731	203	0	655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-55	DNA	DNA	0	54	1613	3984	5280	5759	8076	5000	8493	12500	11271	3711	2658	1237	3071	2218	1411	1381	586	798	200	276	6	0	17	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-1781	DNA	DNA	0	0	0	0	0	0	0	0	60	0	289	337	94	248	725	1870	2096	2398	1213	1598	857	696	277	261	267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-1055	LINE	LINE	0	0	0	0	0	0	0	0	0	0	255	1020	669	1213	2555	2302	2000	2306	2642	505	341	371	742	616	116	366	451	425	439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-417	LTR	Gypsy	0	0	0	0	0	0	0	52	431	44	575	0	812	378	2669	3586	18491	47174	20537	29885	43860	42305	65590	50823	50263	19702	10510	16986	18181	16973	12095	5501	1201	0	613	0	140	318	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-320	DNA	DNA	0	0	0	57	756	1086	2128	3811	4571	4810	3401	5304	5217	3419	3848	4450	2803	3936	3471	4956	3621	1609	1604	2204	339	713	240	511	438	172	110	100	16	0	199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-196	LINE	LINE	0	0	0	102	5168	1364	5611	2194	6333	6548	9259	8247	9555	5850	1758	5439	2235	2713	1713	1758	432	0	718	928	464	1562	2001	711	192	198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-3_family-379	DNA	DNA	166	0	215	0	726	88	1137	323	1039	868	2421	3577	8927	6776	10984	12852	16809	18575	20855	23000	23928	18924	16611	13949	5103	3346	1108	1414	174	25	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-2_family-200	Retro	Retro	0	0	1191	985	5474	7674	4607	5642	6119	5243	3854	4919	3285	2431	1592	2416	961	2356	1211	1818	218	660	330	387	110	294	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-3590	LTR	Copia	0	0	0	0	0	0	0	0	0	525	0	0	0	534	63	776	649	1205	1526	1827	1889	2339	2944	4330	4344	1509	2086	2272	2234	101	472	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-728	DNA	DNA	0	0	0	0	0	34	126	619	336	499	405	496	1016	2246	5020	5974	10106	11228	12315	12613	13972	9461	10181	5803	4455	4114	2000	1170	485	47	25	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-859	DNA	DNA	0	0	0	421	1276	1666	1709	0	0	412	614	277	230	506	700	38	207	69	315	304	639	241	631	283	65	329	168	245	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-241	LTR	Gypsy	0	0	332	632	2600	16190	30977	51526	11967	12087	4570	627	2377	3667	3622	4466	11405	7053	11934	3447	10279	19773	22039	26452	17768	17870	13274	10694	8527	3242	3322	1460	1649	0	170	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-437	LTR	LTR	53	0	91	0	149	0	264	0	1049	1838	8141	15907	7494	10163	14549	12291	7904	7896	6061	8025	11079	20249	12733	8434	8038	4951	1492	1823	757	514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-253	DNA	DNA	3406	14672	11511	2401	1452	1256	986	0	60	43	46	0	0	877	1529	2228	1755	1494	143	0	865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-1779	LINE	LINE	0	0	0	0	118	389	0	46	238	1886	2254	2700	4243	2919	4166	7106	3876	7971	7352	13459	12537	19221	21722	29293	25628	16631	11281	1156	916	1067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-1122	DNA	hAT-Tag1	0	72	1447	6918	6202	1540	926	829	966	4245	1851	4665	792	278	1330	1309	377	1110	1166	135	971	969	420	344	0	301	0	23	579	228	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-948	Unknown	Unknown	0	0	0	0	0	0	0	0	45	116	176	397	183	987	1024	2124	3148	3460	4576	4411	6154	4775	5620	4069	3053	3180	1298	2170	863	658	169	166	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-5271	Unknown	Unknown	0	0	0	902	1774	1793	1346	114	1633	2986	11692	5366	863	2551	4330	2664	4769	3870	4485	2357	2351	2885	4182	1836	1917	1504	447	525	722	195	358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-923	LTR	Copia	0	455	526	0	441	520	392	978	1086	0	1674	4774	2374	514	1380	1357	851	1053	639	1091	2059	1849	303	868	116	382	196	185	180	516	555	128	0	121	0	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-210	DNA	DNA	0	0	418	3976	2020	1302	1818	1104	130	132	0	352	131	128	177	267	405	135	128	333	438	341	182	168	179	109	19	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-868	DNA	DNA	0	0	483	0	41	369	0	40	143	1493	4489	5920	2998	2471	1786	1363	1916	1373	2012	3813	3103	3078	1486	3008	1059	1298	533	567	251	375	0	247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-1011	LTR	Gypsy	0	0	0	242	136	292	415	1118	1635	2040	1904	3172	1540	1832	1224	582	871	156	72	69	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-4_family-135	LTR	LTR	61	162	0	159	94	1260	138	1182	191	2256	563	1733	1317	818	813	620	1169	51	801	60	403	0	313	51	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-895	LTR	LTR	0	195	1444	361	207	123	321	0	341	233	297	218	286	73	0	201	668	74	337	227	683	961	198	210	700	803	331	0	282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-954	LTR	Gypsy	0	0	0	0	0	0	0	41	0	3390	2311	1222	1099	773	515	1724	2377	5870	809	2182	3444	3368	607	1201	1653	1571	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-424	Retro	Retro	0	0	0	0	0	0	0	0	0	92	235	237	325	126	196	169	349	310	509	1086	215	170	15	760	474	379	349	209	37	86	113	0	0	93	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-477	DNA	DNA	0	0	35	0	68	103	537	400	607	879	1375	1721	1042	2727	1676	2898	2608	1911	2501	2684	2755	2434	1494	1250	490	743	359	237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-824	DNA	DNA	0	0	0	1342	2958	4014	3202	2484	1697	1031	489	1141	774	673	784	1265	593	698	538	519	449	786	103	179	78	295	255	161	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-1490	LTR	LTR	0	0	0	0	43	0	367	173	1977	3167	3900	4559	2964	4155	4573	2843	1985	881	690	0	88	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-6_family-2698	LTR	Copia	0	0	0	0	261	133	1006	261	0	1067	836	537	0	188	332	0	1006	2611	1905	1190	1865	3000	2362	3043	1731	1401	2687	541	2150	2470	1978	804	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-77	Unknown	Unknown	86	457	74	560	1364	1075	4188	11171	21169	19020	13211	5407	4243	2608	723	1646	589	635	344	117	98	68	0	12	0	96	56	96	211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-4_family-711	Retro	Retro	0	267	0	533	1108	378	1325	1715	829	1755	1222	2296	1585	770	1574	1347	960	2477	1724	3139	3074	3309	1217	863	1306	554	346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-827	DNA	DNA	0	0	48	0	10	0	0	0	0	0	0	0	82	0	0	0	13	0	0	47	52	185	30	69	101	13	295	71	58	43	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-1_family-613	SINE	SINE	0	0	0	0	0	0	0	38	0	87	0	0	0	59	0	86	0	0	96	106	22	0	0	63	91	4	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-1206	DNA	DNA	325	820	2764	2938	2625	1859	2798	1209	1013	1059	320	827	580	204	50	0	0	0	0	73	0	47	103	0	199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rnd-5_family-348	LTR	Copia	0	0	0	0	0	0	0	0	108	1242	590	840	1209	1275	731	1579	1479	2529	2265	1477	1538	1344	2871	3600	2510	3041	2378	4487	2103	1651	2126	1507	1784	979	1384	630	816	0	0	0	0	0	0	0	0	0	0	0	0	0
