# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
Scaffold_4051        -          Moore2018_ppc1E1     -                1     924 25432831 25431908 25432831 25431897 45200182    -      2e-271  908.2   2.2  -
Scaffold_2366        -          Moore2018_ppc1E1     -                1     924 34168050 34168973 34168050 34168980 41005119    +    3.3e-254  851.2   6.4  -
Scaffold_2993        -          Moore2018_ppc1E1     -              442     925 30561859 30562342 30561843 30562352 42597560    +    3.6e-120  407.2  12.8  -
Scaffold_2993        -          Moore2018_ppc1E1     -                1     453 30561016 30561468 30561016 30561486 42597560    +    1.8e-113  385.0   4.5  -
Scaffold_1695        -          Moore2018_ppc1E1     -              123     570  7132021  7131574  7132026  7131554 44979772    -    2.3e-112  381.4   3.6  -
Scaffold_4051        -          Moore2018_ppc1E1     -              918    1311 25430578 25430185 25430598 25430165 45200182    -    1.3e-103  352.4   3.2  -
Scaffold_2993        -          Moore2018_ppc1E1     -              899    1310 30563020 30563427 30563000 30563448 42597560    +     6.6e-98  333.5   3.6  -
Scaffold_1695        -          Moore2018_ppc1E1     -              558     925  7131348  7130981  7131368  7130974 44979772    -     1.4e-97  332.4   4.9  -
Scaffold_1695        -          Moore2018_ppc1E1     -              917    1310  7130313  7129918  7130333  7129898 44979772    -     3.3e-91  311.3   2.8  -
Scaffold_2366        -          Moore2018_ppc1E1     -              919    1311 34169476 34169868 34169456 34169888 41005119    +     1.8e-89  305.5   3.4  -
Scaffold_4051        -          Moore2018_ppc1E1     -             1307    1575 25429733 25429455 25429755 25429455 45200182    -     2.1e-56  196.0   0.5  -
Scaffold_1695        -          Moore2018_ppc1E1     -              670    1432 28272928 28272163 28272950 28272137 44979772    -     5.4e-54  188.0   2.3  -
Scaffold_2366        -          Moore2018_ppc1E1     -             1305    1573 34169963 34170244 34169942 34170246 41005119    +     6.8e-52  181.1   0.7  -
Scaffold_1695        -          Moore2018_ppc1E1     -             1282    1574  7128984  7128689  7129006  7128688 44979772    -     5.2e-50  174.9   4.1  -
Scaffold_2993        -          Moore2018_ppc1E1     -             1287    1574 30565253 30565523 30565233 30565524 42597560    +     4.7e-47  165.0   3.1  -
Scaffold_1695        -          Moore2018_ppc1E1     -              474     681 28274334 28274127 28274356 28274112 44979772    -     1.3e-32  117.2   3.9  -
Scaffold_1695        -          Moore2018_ppc1E1     -               51     201 28275858 28275708 28275878 28275690 44979772    -     5.4e-13   52.2   4.1  -
Scaffold_1695        -          Moore2018_ppc1E1     -              364     482 28274719 28274589 28274740 28274585 44979772    -        0.15   14.3   3.8  -
Scaffold_2366        -          Moore2018_ppc1E1     -             1103    1244  4965024  4965152  4964998  4965179 41005119    +        0.34   13.1   1.8  -
Scaffold_1695        -          Moore2018_ppc1E1     -              217     302 28275610 28275525 28275630 28275505 44979772    -        0.46   12.7   2.1  -
Scaffold_2225        -          Moore2018_ppc1E1     -              312     406 37757920 37758033 37757900 37758054 45464428    +         1.6   11.0   0.0  -
Scaffold_2366        -          Moore2018_ppc1E1     -             1105    1244  4919761  4919887  4919739  4919914 41005119    +         2.5   10.3   2.3  -
#
# Program:         nhmmer
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      ppc1E1.hmm
# Target file:     ../Data/portulaca_26Nov2018_oK3Ko.fixed.fasta
# Option settings: nhmmer -o ppc1E1.nhmmer.log -A ppc1E1.nhmmer.fasta --tblout ppc1E1.nhmmer.tbl --cpu 20 ppc1E1.hmm ../Data/portulaca_26Nov2018_oK3Ko.fixed.fasta 
# Current dir:     /gpfs/ysm/scratch60/isg4/P_amilis_genome/PEPC_fishing
# Date:            Mon Apr 15 10:54:59 2019
# [ok]
